Build Title,Component,Product Name,Link
"""End Game"" 1440p Build",CPU,Intel Core i9-13900K 3 GHz 24-Core,https://pcpartpicker.com/product/DhVmP6/intel-core-i9-13900k-3-ghz-24-core-processor-bx8071513900k
"""End Game"" 1440p Build",CPU Cooler,Lian Li Galahad II Trinity SL-INF 61.3 CFM Liquid,https://pcpartpicker.com/product/HH88TW/lian-li-galahad-ii-trinity-sl-inf-613-cfm-liquid-cpu-cooler-ga2t36inw
"""End Game"" 1440p Build",Case,Lian Li O11D EVO RGB ATX Mid Tower,https://pcpartpicker.com/product/Ksgrxr/lian-li-o11d-evo-rgb-atx-mid-tower-case-o11dergbw
"""End Game"" 1440p Build",Case Fan,Lian Li Uni Fan SL-Infinity 63.6 CFM 120 mm,https://pcpartpicker.com/product/YTzXsY/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fan-rslin120-1w
"""End Game"" 1440p Build",Memory,G.Skill Trident Z5 RGB 32 GB (2 x 16 GB) DDR5-7200 CL34,https://pcpartpicker.com/product/qxXJ7P/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-7200-cl34-memory-f5-7200j3445g16gx2-tz5rk
"""End Game"" 1440p Build",Motherboard,Gigabyte Z790 AORUS MASTER EATX LGA1700,https://pcpartpicker.com/product/bQXJ7P/gigabyte-z790-aorus-master-eatx-lga1700-motherboard-z790-aorus-master
"""End Game"" 1440p Build",Power Supply,be quiet! Straight Power 12 1200 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/L7CZxr/be-quiet-straight-power-12-1200-w-80-platinum-certified-fully-modular-atx-power-supply-bn339
"""End Game"" 1440p Build",Storage,Seagate FireCuda 540 2 TB M.2-2280 PCIe 5.0 X4 NVME SSD,https://pcpartpicker.com/product/pkwmP6/seagate-firecuda-540-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-zp2000gm3a004
"""End Game"" 1440p Build",Video Card,NVIDIA Founders Edition GeForce RTX 3090 24 GB,https://pcpartpicker.com/product/PFVG3C/nvidia-geforce-rtx-3090-24-gb-founders-edition-video-card-900-1g136-2510-000
"""Serenity 2.0"" - Mini ITX Build",CPU,AMD Ryzen 5 8500G 4.1 GHz 6-Core,https://pcpartpicker.com/product/y3XV3C/amd-ryzen-5-8500g-41-ghz-6-core-processor-100-100000931box
"""Serenity 2.0"" - Mini ITX Build",CPU Cooler,Noctua NH-L9x65 chromax.black 33.84 CFM,https://pcpartpicker.com/product/QvvD4D/noctua-nh-l9x65-chromaxblack-3384-cfm-cpu-cooler-nh-l9x65-chromaxblack
"""Serenity 2.0"" - Mini ITX Build",Case,Deepcool CH160 Mini ITX Desktop,https://pcpartpicker.com/product/7g7scf/deepcool-ch160-mini-itx-desktop-case-r-ch160-bkngi0-g-1
"""Serenity 2.0"" - Mini ITX Build",Case Fan,NZXT F120 RGB DUO 48.58 CFM 120 mm,https://pcpartpicker.com/product/k8Fbt6/nzxt-f120-rgb-duo-4858-cfm-120-mm-fan-rf-d12sf-b1
"""Serenity 2.0"" - Mini ITX Build",Memory,TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/H9CZxr/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ctced532g6000hc30dc01
"""Serenity 2.0"" - Mini ITX Build",Motherboard,Gigabyte A620I AX Mini ITX AM5,https://pcpartpicker.com/product/Hp3NnQ/gigabyte-a620i-ax-mini-itx-am5-motherboard-a620i-ax
"""Serenity 2.0"" - Mini ITX Build",Operating System,Microsoft Windows 11 Pro Retail - USB 64-bit,https://pcpartpicker.com/product/HxKKHx/microsoft-windows-11-pro-retail-usb-64-bit-hav-00162
"""Serenity 2.0"" - Mini ITX Build",Power Supply,Corsair SF850 (2024) 850 W 80+ Platinum Certified Fully Modular SFX,https://pcpartpicker.com/product/ZsTZxr/corsair-sf850-2024-850-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020256
"""Serenity 2.0"" - Mini ITX Build",Storage,Western Digital WD_Black SN850X 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/crKKHx/western-digital-wd_black-sn850x-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t2x0e
"""Serenity 2.0"" - Mini ITX Build",Video Card,Asus DUAL EVO OC GeForce RTX 4060 8 GB,https://pcpartpicker.com/product/rQQKHx/asus-dual-evo-oc-geforce-rtx-4060-8-gb-video-card-dual-rtx4060-o8g-evo
"""cool boy B)"" (second build)",CPU,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof
"""cool boy B)"" (second build)",CPU Cooler,Corsair iCUE H150i ELITE LCD XT 65.57 CFM Liquid,https://pcpartpicker.com/product/3sYRsY/corsair-icue-h150i-elite-lcd-xt-6557-cfm-liquid-cpu-cooler-cw-9060075-ww
"""cool boy B)"" (second build)",Case,Lian Li O11 Vision ATX Mid Tower,https://pcpartpicker.com/product/Jk7scf/lian-li-o11-vision-atx-mid-tower-case-pc-o11vx
"""cool boy B)"" (second build)",Case Fan,Corsair iCUE LINK QX120 RGB Starter Kit 63.1 CFM 120 mm,https://pcpartpicker.com/product/4VBzK8/corsair-icue-link-qx120-rgb-starter-kit-631-cfm-120-mm-fans-3-pack-co-9051002-ww
"""cool boy B)"" (second build)",Memory,Corsair Dominator Titanium 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/XxV2FT/corsair-dominator-titanium-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmp32gx5m2b6000z30
