"component_type","component_name","component_link","Color","Dimensions","Drive_Bays","Expansion_Slots","Front_Panel_USB","Inferred_","Manufacturer","Maximum_Video_Card_Length","Motherboard_Form_Factor","Part_#_#","Power_Supply","Power_Supply_Shroud","Side_Panel","Type","Volume","Model"
"Case","Lian Li O11D EVO RGB ATX Mid Tower","https://pcpartpicker.com/product/Ksgrxr/lian-li-o11d-evo-rgb-atx-mid-tower-case-o11dergbw","White","478 mm x 290 mm x 471 mm; 18.819"" x 11.417"" x 18.543""","4 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","; ","Lian Li","455.7 mm / 17.941""","ATX; EATX; Micro ATX; Mini ITX","O11DERGBW; G99.O11DERGBW.00; PC-O11DERGBW","","No","Tempered Glass","ATX Mid Tower","65.29 L; 2.306 ft³",""
"","Deepcool CH160 Mini ITX Desktop","https://pcpartpicker.com/product/7g7scf/deepcool-ch160-mini-itx-desktop-case-r-ch160-bkngi0-g-1","Black","336 mm x 200 mm x 283.5 mm; 13.228"" x 7.874"" x 11.161""","1 x Internal 3.5""","3 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","; ","Deepcool","305 mm / 12.008""","Mini ITX","R-CH160-BKNGI0-G-1","","No","Tempered Glass","Mini ITX Desktop","19.051 L; 0.673 ft³",""
"","Lian Li O11 Vision ATX Mid Tower","https://pcpartpicker.com/product/Jk7scf/lian-li-o11-vision-atx-mid-tower-case-pc-o11vx","Black","480 mm x 304 mm x 464.5 mm; 18.898"" x 11.969"" x 18.287""","2 x Internal 3.5""; 3 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","455 mm / 17.913""","ATX; EATX; Micro ATX; Mini ITX","PC-O11VX; O11VX; G99.O11VX.00","","No","Tempered Glass","ATX Mid Tower","67.78 L; 2.394 ft³",""
"","Thermaltake View 170 ARGB MicroATX Mini Tower","https://pcpartpicker.com/product/VT88TW/thermaltake-view-170-argb-microatx-mini-tower-case-ca-1z4-00m1wn-00","Black","377 mm x 212 mm x 438 mm; 14.843"" x 8.346"" x 17.244""","2 x Internal 2.5""; 1 x Internal 3.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A","","Thermaltake","340 mm / 13.386""","Micro ATX; Mini ITX","CA-1Z4-00M1WN-00","","Yes","Tempered Glass","MicroATX Mini Tower","35.007 L; 1.236 ft³",""
"","SAMA AR01-RGB MicroATX Mini Tower","https://pcpartpicker.com/product/t8grxr/sama-ar01-rgb-microatx-mini-tower-case-ar01-rgb-bk","Black","462.28 mm x 223.52 mm x 447.04 mm; 18.2"" x 8.8"" x 17.6""","4 x Internal 2.5""; 2 x Internal 3.5""","5 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","SAMA","400 mm / 15.748""","Micro ATX; Mini ITX","AR01-RGB-BK","","Yes","Tempered Glass","MicroATX Mini Tower","46.192 L; 1.631 ft³",""
"","Phanteks XT PRO ATX Mid Tower","https://pcpartpicker.com/product/zJWJ7P/phanteks-xt-pro-atx-mid-tower-case-ph-xt523p1-bk01","Black","450 mm x 230 mm x 500 mm; 17.717"" x 9.055"" x 19.685""","2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Phanteks","415 mm / 16.339""","ATX; EATX; Micro ATX; Mini ITX","PH-XT523P1-BK01","","Yes","Tempered Glass","ATX Mid Tower","51.75 L; 1.828 ft³",""
"","Lian Li O11D EVO RGB ATX Mid Tower","https://pcpartpicker.com/product/qrXV3C/lian-li-o11d-evo-rgb-atx-mid-tower-case-o11dergbx","Black","478 mm x 290 mm x 471 mm; 18.819"" x 11.417"" x 18.543""","4 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","455.7 mm / 17.941""","ATX; EATX; Micro ATX; Mini ITX","O11DERGBX; G99.O11DERGBX.00; O11DERGBX.US; PC-O11DERGBX","","No","Tempered Glass","ATX Mid Tower","65.29 L; 2.306 ft³",""
"","NZXT H7 Flow (2024) ATX Mid Tower","https://pcpartpicker.com/product/4yMMnQ/nzxt-h7-flow-2024-atx-mid-tower-case-cm-h72fb-01","Black","468 mm x 244 mm x 544 mm; 18.425"" x 9.606"" x 21.417""","2 x Internal 2.5""; 2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","410 mm / 16.142""","ATX; EATX; Micro ATX; Mini ITX","CM-H72FB-01","","Yes","Tempered Glass","ATX Mid Tower","62.12 L; 2.194 ft³",""
"","DIYPC ARGB-Q3 V2 MicroATX Mini Tower","https://pcpartpicker.com/product/3MsV3C/diypc-argb-q3-v2-microatx-mini-tower-case-argb-q3v2-bk","Black","385 mm x 275 mm x 365 mm; 15.157"" x 10.827"" x 14.37""","2 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","DIYPC","360 mm / 14.173""","Micro ATX; Mini ITX","ARGB-Q3.V2-BK","","No","Tempered Glass","MicroATX Mini Tower","38.644 L; 1.365 ft³",""
"","DIYPC ARGB-Q3 V2 MicroATX Mini Tower","https://pcpartpicker.com/product/RhfxFT/diypc-argb-q3-v2-microatx-mini-tower-case-argb-q3v2-w","White","385 mm x 275 mm x 365 mm; 15.157"" x 10.827"" x 14.37""","2 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","DIYPC","360 mm / 14.173""","Micro ATX; Mini ITX","ARGB-Q3.v2-W","","No","Tempered Glass","MicroATX Mini Tower","38.644 L; 1.365 ft³",""
"","Thermaltake The Tower 100 Mini ITX Tower","https://pcpartpicker.com/product/xy2WGX/thermaltake-the-tower-100-mini-itx-tower-case-ca-1r3-00sdwn-00","Gold","266 mm x 266 mm x 462.8 mm; 10.472"" x 10.472"" x 18.22""","2 x Internal 3.5""; 2 x Internal 2.5""","2 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Thermaltake","330 mm / 12.992""","Mini ITX","CA-1R3-00SDWN-00","","Yes","Tempered Glass","Mini ITX Tower","32.746 L; 1.156 ft³",""
"","Corsair 4000D Airflow ATX Mid Tower","https://pcpartpicker.com/product/bCYQzy/corsair-4000d-airflow-atx-mid-tower-case-cc-9011200-ww","Black","453 mm x 230 mm x 466 mm; 17.835"" x 9.055"" x 18.346""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height; 2 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Corsair","360 mm / 14.173""","ATX; EATX; Micro ATX; Mini ITX","CC-9011200-WW","","Yes","Tinted Tempered Glass","ATX Mid Tower","48.553 L; 1.715 ft³",""
"","be quiet! Light Base 900 DX ATX Full Tower","https://pcpartpicker.com/product/z3Kscf/be-quiet-light-base-900-dx-atx-full-tower-case-bgw69","Black","532 mm x 327 mm x 484 mm; 20.945"" x 12.874"" x 19.055""","4 x Internal 2.5""; 1 x Internal 3.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","be quiet!","495 mm / 19.488""","ATX; EATX; Micro ATX; Mini ITX","BGW69","","No","Tempered Glass","ATX Full Tower","84.199 L; 2.973 ft³",""
"","Fractal Design Define 7 XL ATX Full Tower","https://pcpartpicker.com/product/dyLwrH/fractal-design-define-7-xl-atx-full-tower-case-fd-c-def7x-01","Black","604 mm x 240 mm x 566 mm; 23.78"" x 9.449"" x 22.283""","2 x External 5.25""; 6 x Internal 3.5""; 2 x Internal 2.5""","9 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Fractal Design","359 mm / 14.134"" With Drive Cages; 524 mm / 20.63"" Without Drive Cages","ATX; EATX; Micro ATX; Mini ITX; SSI CEB; SSI EEB","FD-C-DEF7X-01","","Yes","","ATX Full Tower","82.047 L; 2.897 ft³",""
"","Corsair 5000D AIRFLOW ATX Mid Tower","https://pcpartpicker.com/product/PWn8TW/corsair-5000d-airflow-atx-mid-tower-case-cc-9011210-ww","Black","520 mm x 245 mm x 520 mm; 20.472"" x 9.646"" x 20.472""","2 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height; 2 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Corsair","420 mm / 16.535""","ATX; EATX; Micro ATX; Mini ITX","CC-9011210-WW","","Yes","Tempered Glass","ATX Mid Tower","66.248 L; 2.34 ft³",""
"","Montech XR ATX Mid Tower","https://pcpartpicker.com/product/fc88TW/montech-xr-atx-mid-tower-case-xr-b","Black","435 mm x 230 mm x 450 mm; 17.126"" x 9.055"" x 17.717""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Montech","420 mm / 16.535""","ATX; Micro ATX; Mini ITX","XR-B; XR (B)","","Yes","Tempered Glass","ATX Mid Tower","45.023 L; 1.59 ft³",""
"","Antec CX200M RGB ELITE ATX Mid Tower","https://pcpartpicker.com/product/J6tLrH/antec-cx200m-rgb-elite-atx-mid-tower-case-cx200m-rgb-elite","Black","350 mm x 210 mm x 392 mm; 13.78"" x 8.268"" x 15.433""","2 x Internal 3.5""; 1 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A","","Antec","330 mm / 12.992""","Micro ATX; Mini ITX","CX200M RGB ELITE; 0-761345-10024-3","","Yes","Tempered Glass","ATX Mid Tower","28.812 L; 1.017 ft³",""
"","Antec C8 ATX Full Tower","https://pcpartpicker.com/product/yxdG3C/antec-c8-atx-mid-tower-case-c8","Black","464 mm x 303 mm x 476 mm; 18.268"" x 11.929"" x 18.74""","2 x Internal 3.5""; 4 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Antec","440 mm / 17.323""","ATX; EATX; Micro ATX; Mini ITX","C8; 0-761345-10019-9","","No","Tempered Glass","ATX Full Tower","66.922 L; 2.363 ft³",""
"","Antec C5 ARGB ATX Mid Tower","https://pcpartpicker.com/product/MFNYcf/antec-c5-argb-atx-mid-tower-case-0-761345-10033-5","Black","","2 x Internal 2.5""; 1 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Antec","410 mm / 16.142""","ATX; Micro ATX; Mini ITX","0-761345-10033-5; C5 ARGB BLACK; C5 ARGB","","No","Tempered Glass","ATX Mid Tower","",""
"","Phanteks XT PRO ULTRA ATX Mid Tower","https://pcpartpicker.com/product/BXtLrH/phanteks-xt-pro-ultra-atx-mid-tower-case-ph-xt523p1-dbk01","Black","450 mm x 230 mm x 500 mm; 17.717"" x 9.055"" x 19.685""","2 x Internal 3.5""; 3 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Phanteks","415 mm / 16.339""","ATX; EATX; Micro ATX; Mini ITX","PH-XT523P1-DBK01","","Yes","Tempered Glass","ATX Mid Tower","51.75 L; 1.828 ft³",""
"","Antec C8 ATX Full Tower","https://pcpartpicker.com/product/dF9wrH/antec-c8-atx-mid-tower-case-c8-wh","White","464 mm x 303 mm x 476 mm; 18.268"" x 11.929"" x 18.74""","2 x Internal 3.5""; 4 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Antec","440 mm / 17.323""","ATX; EATX; Micro ATX; Mini ITX","C8-WH; C8-White; 0-761345-10021-2","","No","Tempered Glass","ATX Full Tower","66.922 L; 2.363 ft³",""
