"component_type","component_name","component_link","Airflow","Color","Connector","Controller","Flow_Direction","Inferred_","LED","Manufacturer","Noise_Level","PWM","Part_#_#","Quantity","RPM","Size","Static_Pressure"
"Case Fan","Lian Li Uni Fan SL-Infinity 63.6 CFM 120 mm","https://pcpartpicker.com/product/YTzXsY/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fan-rslin120-1w","63.6 CFM","White","4-pin PWM + 3-pin 5V Addressable RGB","","Reverse","","Addressable RGB","Lian Li","32 dB","Yes","RSLIN120-1W; UF-RSLIN120-1W; G99.12RSLIN1W.00","1","200 - 2100 RPM","120 mm","2.02 mmH2O"
"","Thermalright TL-C12C-S X5 66.17 CFM 120 mm","https://pcpartpicker.com/product/x3Kscf/thermalright-tl-c12c-s-x5-6617-cfm-120-mm-fans-5-pack-tl-c12c-s-x5","66.17 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","25.6 dB","Yes","TL-C12C-S X5","5-Pack","1550 RPM","120 mm","1.53 mmH2O"
"","Lian Li UNI FAN SL Wireless 64.05 CFM 120 mm","https://pcpartpicker.com/product/wtV2FT/lian-li-uni-fan-sl-wireless-6405-cfm-120-mm-fans-3-pack-12sl1w3b","64.05 CFM","Black","4-pin PWM","USB","Standard","","Addressable RGB","Lian Li","28.5 dB","Yes","12SL1W3B; G99.12SL1W3B.00","3-Pack","400 - 2000 RPM","120 mm","2.44 mmH2O"
"","be quiet! Silent Wings 4 51.3 CFM 140 mm","https://pcpartpicker.com/product/4Hytt6/be-quiet-silent-wings-4-513-cfm-140-mm-fan-bl096","51.3 CFM","Black","4-pin PWM","","Standard","","","be quiet!","13.6 dB","Yes","BL096","1","1100 RPM","140 mm","0.92 mmH2O"
"","ARCTIC P14 PWM PST A-RGB 68 CFM 140 mm","https://pcpartpicker.com/product/nWqPxr/arctic-p14-pwm-pst-a-rgb-68-cfm-140-mm-fans-3-pack-acfan00257a","0 - 68 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","ARCTIC","","Yes","ACFAN00257A","3-Pack","","140 mm",""
"","Lian Li Uni Fan SL-Infinity 61.3 CFM 120 mm","https://pcpartpicker.com/product/2hzhP6/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fan-uf-slin120-1b","0 - 61.3 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Lian Li","0 - 29 dB","Yes","UF-SLIN120-1B; 12SLIN1B; G99.12SLIN1B.00","1","","120 mm","2.66 mmH2O"
"","ENDORFY Fluctus 120 mm","https://pcpartpicker.com/product/ftMMnQ/endorfy-fluctus-120-mm-fan-ey4a001","","Black","4-pin PWM","","Standard","","","ENDORFY","","Yes","EY4A001","1","250 - 1800 RPM","120 mm",""
"","Thermalright TL-M12-S 47.6 CFM 120 mm","https://pcpartpicker.com/product/7KLdnQ/thermalright-tl-m12-s-476-cfm-120-mm-fan-tl-m12-s","47.6 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","23.2 dB","Yes","TL-M12-S","1","1500 RPM","120 mm","1.31 mmH2O"
"","be quiet! Silent Wings Pro 4 83.9 CFM 120 mm","https://pcpartpicker.com/product/N8NxFT/be-quiet-silent-wings-pro-4-839-cfm-120-mm-fan-bl098","83.9 CFM","Black","4-pin PWM","","Standard","","","be quiet!","36.9 dB","Yes","BL098","1","3000 RPM","120 mm","5.31 mmH2O"
"","Lian Li Uni Fan SL-Infinity 61.3 CFM 120 mm","https://pcpartpicker.com/product/6kQcCJ/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fans-3-pack-uf-slin120-3w","0 - 61.3 CFM","White","4-pin PWM + 3-pin 5V Addressable RGB","5V Addressable RGB","Standard","","Addressable RGB","Lian Li","0 - 29 dB","Yes","UF-SLIN120-3W; 12SLIN3W; G99.12SLIN3W.00","3-Pack","","120 mm","2.66 mmH2O"
