component_type,component_name,component_link,Core_Count,Core_Family,ECC_Support,Efficiency_Core_Boost_Clock,Efficiency_Core_Clock,Includes_CPU_Cooler,Includes_Cooler,Inferred_,Integrated_Graphics,L2_Cache,L3_Cache,Lithography,Manufacturer,Maximum_Supported_Memory,Microarchitecture,Packaging,Part_#_#,Performance_Core_Boost_Clock,Performance_Core_Clock,Series,Simultaneous_Multithreading,Socket,TDP,Thread_Count,
CPU,Intel Core i9-13900K 3 GHz 24-Core,https://pcpartpicker.com/product/DhVmP6/intel-core-i9-13900k-3-ghz-24-core-processor-bx8071513900k,24,Raptor Lake,Yes,4.3 GHz,2.2 GHz,No,No,,Intel UHD Graphics 770,32 MB,36 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513900K; i9-13900K,5.8 GHz,3 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,125 W,32,
,AMD Ryzen 5 8500G 4.1 GHz 6-Core,https://pcpartpicker.com/product/y3XV3C/amd-ryzen-5-8500g-41-ghz-6-core-processor-100-100000931box,6,Phoenix 2,No,3.7 GHz,3.2 GHz,Yes,Yes,,Radeon 740M,6 MB,16 MB,4 nm,AMD,,Zen 4,Boxed,100-100000931BOX,5 GHz,4.1 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,96 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000910WOF,5 GHz,4.2 GHz,AMD Ryzen 7,Yes,AM5,120 W,16,
,AMD Ryzen 5 7600X 4.7 GHz 6-Core,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,6,Raphael,Yes,,,No,No,,Radeon,6 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000593WOF,5.3 GHz,4.7 GHz,AMD Ryzen 5,Yes,AM5,105 W,12,
,AMD Ryzen 5 7600X 4.7 GHz 6-Core,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,6,Raphael,Yes,,,No,No,,Radeon,6 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000593WOF,5.3 GHz,4.7 GHz,AMD Ryzen 5,Yes,AM5,105 W,12,
,Intel Core i9-13900KF 3 GHz 24-Core,https://pcpartpicker.com/product/CgkWGX/intel-core-i9-13900kf-3-ghz-24-core-processor-bx8071513900kf,24,Raptor Lake,No,4.3 GHz,2.2 GHz,No,No,,,32 MB,36 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513900KF; i7-13900KF,5.8 GHz,3 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,125 W,32,
,AMD Ryzen 5 2600 3.4 GHz 6-Core,https://pcpartpicker.com/product/jLF48d/amd-ryzen-5-2600-34ghz-6-core-processor-yd2600bbafbox,6,Pinnacle Ridge,No,,,Yes,Yes,,,3 MB,15.99 MB,12 nm,AMD,64 GB,Zen+,Boxed,YD2600BBAFBOX,3.9 GHz,3.4 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,AMD Ryzen 5 2600 3.4 GHz 6-Core,https://pcpartpicker.com/product/jLF48d/amd-ryzen-5-2600-34ghz-6-core-processor-yd2600bbafbox,6,Pinnacle Ridge,No,,,Yes,Yes,,,3 MB,15.99 MB,12 nm,AMD,64 GB,Zen+,Boxed,YD2600BBAFBOX,3.9 GHz,3.4 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,Intel Core i7-12700KF 3.6 GHz 12-Core,https://pcpartpicker.com/product/YDM48d/intel-core-i7-12700kf-36-ghz-8-core-processor-bx8071512700kf,12,Alder Lake,No,3.8 GHz,2.7 GHz,No,No,,,12 MB,25 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512700KF,5 GHz,3.6 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1700,125 W,20,
,AMD Ryzen 5 5600X 3.7 GHz 6-Core,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,6,Vermeer,No,,,Yes,Yes,,,3 MB,32 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000065BOX,4.6 GHz,3.7 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,Intel Core i5-13500 2.5 GHz 14-Core,https://pcpartpicker.com/product/mtmmP6/intel-core-i5-13500-25-ghz-14-core-processor-bx8071513500,14,Raptor Lake,No,3.5 GHz,1.8 GHz,Yes,Yes,,Intel UHD Graphics 770,11.5 MB,24 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513500,4.8 GHz,2.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,65 W,20,
,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,96 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000910WOF,5 GHz,4.2 GHz,AMD Ryzen 7,Yes,AM5,120 W,16,
,AMD Ryzen 9 9950X3D 4.3 GHz 16-Core,https://pcpartpicker.com/product/Pk62FT/amd-ryzen-9-9950x3d-43-ghz-16-core-processor-100-100000719wof,16,Granite Ridge,Yes,,,No,No,,Radeon,16 MB,128 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100000719WOF,5.7 GHz,4.3 GHz,AMD Ryzen 9,Yes,AM5,170 W,32,
,AMD Ryzen 9 7950X 4.5 GHz 16-Core,https://pcpartpicker.com/product/22XJ7P/amd-ryzen-9-7950x-45-ghz-16-core-processor-100-100000514wof,16,Raphael,Yes,,,No,No,,Radeon,16 MB,64 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000514WOF,5.7 GHz,4.5 GHz,AMD Ryzen 9,Yes,AM5,170 W,32,
,AMD Ryzen 7 5800X 3.8 GHz 8-Core,https://pcpartpicker.com/product/qtvqqs/amd-ryzen-7-5800x-38-ghz-8-core-processor-100-100000063wof,8,Vermeer,No,,,No,No,,,4 MB,32 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000063WOF,4.7 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM4,105 W,16,
