component_name,component_link,Core_Count,Core_Family,ECC_Support,Efficiency_Core_Boost_Clock,Efficiency_Core_Clock,Includes_CPU_Cooler,Includes_Cooler,Integrated_Graphics,L2_Cache,L3_Cache,Lithography,Manufacturer,Maximum_Supported_Memory,Microarchitecture,Packaging,Part__,Performance_Core_Boost_Clock,Performance_Core_Clock,Series,Simultaneous_Multithreading,Socket,TDP,Thread_Count
Intel Core I9-13900K 3 Ghz 24-Core,https://pcpartpicker.com/product/DhVmP6/intel-core-i9-13900k-3-ghz-24-core-processor-bx8071513900k,24,Raptor Lake,TRUE,4.3,2.2,FALSE,FALSE,Intel UHD Graphics 770,32,36,10,Intel,128,Raptor Lake,Boxed,BX8071513900K,5.8,3,Intel Core i9,TRUE,LGA1700,0,32
Amd Ryzen 5 8500G 4.1 Ghz 6-Core,https://pcpartpicker.com/product/y3XV3C/amd-ryzen-5-8500g-41-ghz-6-core-processor-100-100000931box,6,Phoenix 2,FALSE,3.7,3.2,TRUE,TRUE,Radeon 740M,6,16,4,Amd,128,Zen 4,Boxed,100-100000931BOX,5,4.1,AMD Ryzen 5,TRUE,AM5,0,12
Amd Ryzen 7 7800X3D 4.2 Ghz 8-Core,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,8,Raphael,TRUE,0,0,FALSE,FALSE,Radeon,8,96,5,Amd,128,Zen 4,Boxed,100-100000910WOF,5,4.2,AMD Ryzen 7,TRUE,AM5,0,16
Amd Ryzen 5 7600X 4.7 Ghz 6-Core,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,6,Raphael,TRUE,0,0,FALSE,FALSE,Radeon,6,32,5,Amd,128,Zen 4,Boxed,100-100000593WOF,5.3,4.7,AMD Ryzen 5,TRUE,AM5,0,12
Intel Core I9-13900Kf 3 Ghz 24-Core,https://pcpartpicker.com/product/CgkWGX/intel-core-i9-13900kf-3-ghz-24-core-processor-bx8071513900kf,24,Raptor Lake,FALSE,4.3,2.2,FALSE,FALSE,nan,32,36,10,Intel,128,Raptor Lake,Boxed,BX8071513900KF,5.8,3,Intel Core i9,TRUE,LGA1700,0,32
Amd Ryzen 5 2600 3.4 Ghz 6-Core,https://pcpartpicker.com/product/jLF48d/amd-ryzen-5-2600-34ghz-6-core-processor-yd2600bbafbox,6,Pinnacle Ridge,FALSE,0,0,TRUE,TRUE,nan,3,15.99,12,Amd,128,Zen+,Boxed,YD2600BBAFBOX,3.9,3.4,AMD Ryzen 5,TRUE,AM4,0,12
Intel Core I7-12700Kf 3.6 Ghz 12-Core,https://pcpartpicker.com/product/YDM48d/intel-core-i7-12700kf-36-ghz-8-core-processor-bx8071512700kf,12,Alder Lake,FALSE,3.8,2.7,FALSE,FALSE,nan,12,25,10,Intel,128,Alder Lake,Boxed,BX8071512700KF,5,3.6,Intel Core i7,TRUE,LGA1700,0,20
Amd Ryzen 5 5600X 3.7 Ghz 6-Core,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,6,Vermeer,FALSE,0,0,TRUE,TRUE,nan,3,32,7,Amd,128,Zen 3,Boxed,100-100000065BOX,4.6,3.7,AMD Ryzen 5,TRUE,AM4,0,12
Intel Core I5-13500 2.5 Ghz 14-Core,https://pcpartpicker.com/product/mtmmP6/intel-core-i5-13500-25-ghz-14-core-processor-bx8071513500,14,Raptor Lake,FALSE,3.5,1.8,TRUE,TRUE,Intel UHD Graphics 770,11.5,24,10,Intel,128,Raptor Lake,Boxed,BX8071513500,4.8,2.5,Intel Core i5,TRUE,LGA1700,0,20
Amd Ryzen 9 9950X3D 4.3 Ghz 16-Core,https://pcpartpicker.com/product/Pk62FT/amd-ryzen-9-9950x3d-43-ghz-16-core-processor-100-100000719wof,16,Granite Ridge,TRUE,0,0,FALSE,FALSE,Radeon,16,128,4,Amd,128,Zen 5,Boxed,100-100000719WOF,5.7,4.3,AMD Ryzen 9,TRUE,AM5,0,32
Amd Ryzen 9 7950X 4.5 Ghz 16-Core,https://pcpartpicker.com/product/22XJ7P/amd-ryzen-9-7950x-45-ghz-16-core-processor-100-100000514wof,16,Raphael,TRUE,0,0,FALSE,FALSE,Radeon,16,64,5,Amd,128,Zen 4,Boxed,100-100000514WOF,5.7,4.5,AMD Ryzen 9,TRUE,AM5,0,32
Amd Ryzen 7 5800X 3.8 Ghz 8-Core,https://pcpartpicker.com/product/qtvqqs/amd-ryzen-7-5800x-38-ghz-8-core-processor-100-100000063wof,8,Vermeer,FALSE,0,0,FALSE,FALSE,nan,4,32,7,Amd,128,Zen 3,Boxed,100-100000063WOF,4.7,3.8,AMD Ryzen 7,TRUE,AM4,0,16
Amd Ryzen 5 5500 3.6 Ghz 6-Core,https://pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box,6,Cezanne,FALSE,0,0,TRUE,TRUE,nan,3,16,7,Amd,128,Zen 3,Boxed,100-100000457BOX,4.2,3.6,AMD Ryzen 5,TRUE,AM4,0,12
Intel Core I9-11900K 3.5 Ghz 8-Core,https://pcpartpicker.com/product/mDcG3C/intel-core-i9-11900k-35-ghz-8-core-processor-bx8070811900k,8,Rocket Lake-S,FALSE,0,0,FALSE,FALSE,Intel UHD Graphics 750,4,16,14,Intel,128,Rocket Lake,Boxed,BX8070811900K,5.3,3.5,Intel Core i9,TRUE,LGA1200,0,16
Intel Core I5-12400F 2.5 Ghz 6-Core,https://pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f,6,Alder Lake,FALSE,0,0,TRUE,TRUE,nan,7.5,18,10,Intel,128,Alder Lake,Boxed,BX8071512400F,4.4,2.5,Intel Core i5,TRUE,LGA1700,0,12
