component_type,component_name,component_link,CPU_Socket,Color,Fan_RPM,Fanless,Height,Inferred_,Manufacturer,Noise_Level,Part_#_#,Water_Cooled
CPU Cooler,Lian Li Galahad II Trinity SL-INF 61.3 CFM Liquid,https://pcpartpicker.com/product/HH88TW/lian-li-galahad-ii-trinity-sl-inf-613-cfm-liquid-cpu-cooler-ga2t36inw,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,2100 RPM,No,69 mm,,Lian Li,29 dB,GA2T36INW; G89.GA2T36INW.00,Yes - 360 mm
,Noctua NH-L9x65 chromax.black 33.84 CFM,https://pcpartpicker.com/product/QvvD4D/noctua-nh-l9x65-chromaxblack-3384-cfm-cpu-cooler-nh-l9x65-chromaxblack,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,600 - 2500 RPM,No,65 mm,,Noctua,14.8 - 23.6 dB,NH-L9x65 chromax.black; NH-L9x65 ch.bk; NH-L9x65chromaxblack; NH-L9X65-CH-BK; NOCTUA NH-L9X65 CHROMAX.BLACK,No
,ID-COOLING SE-214-XT ARGB 68.2 CFM,https://pcpartpicker.com/product/Zr8bt6/id-cooling-se-214-xt-argb-682-cfm-cpu-cooler-se-214-xt-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,500 - 1500 RPM,No,150 mm,,ID-COOLING,13.8 - 30.5 dB,SE-214-XT ARGB,No
,Thermalright Aqua Elite V3 66.17 CFM Liquid,https://pcpartpicker.com/product/ZQBzK8/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-360-black-v3,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,1500 RPM,No,,,Thermalright,25.6 dB,Aqua Elite 360 Black V3; AQUA ELITE 360 V3; Aqua Elite 360 Black Argb V3,Yes - 360 mm
,Deepcool GAMMAXX AG400 ARGB 75.89 CFM,https://pcpartpicker.com/product/6KWzK8/deepcool-ag400-argb-7589-cfm-cpu-cooler-r-ag400-whanmc-g-2,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,500 - 2000 RPM,No,150 mm,,Deepcool,31.6 dB,R-AG400-WHANMC-G-2; AG400 WH ARGB,No
,Thermalright Frozen Notte ARGB 72.37 CFM Liquid,https://pcpartpicker.com/product/9VmNnQ/thermalright-frozen-notte-argb-7237-cfm-liquid-cpu-cooler-frozen-notte-360-white-argb-d1,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,2000 RPM,No,,,Thermalright,27.7 dB,Frozen Notte 360 WHITE ARGB-D1; Frozen Notte 360 WHITE ARGB,Yes - 360 mm
,Noctua NH-L12 Ghost S1 37.8 CFM,https://pcpartpicker.com/product/bq848d/noctua-nh-l12-ghost-s1-378-cfm-cpu-cooler-nh-l12-ghost-s1,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Silver / Beige,300 - 1600 RPM,No,66 mm,,Noctua,13.1 - 17.6 dB,NH-L12 Ghost S1,No
,Lian Li Galahad II LCD SL-INF 79.9 CFM Liquid,https://pcpartpicker.com/product/G6mNnQ/lian-li-galahad-ii-lcd-sl-inf-799-cfm-liquid-cpu-cooler-ga2alcd36inw,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,,No,,,Lian Li,29 dB,GA2ALCD36INW,Yes - 360 mm
,Thermalright RK120 SE 66.17 CFM,https://pcpartpicker.com/product/4gDQzy/thermalright-rk120-se-6617-cfm-cpu-cooler-rk120-se,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black / Silver,1500 RPM,No,155 mm,,Thermalright,25.6 dB,RK120 SE; Royal Knight 120 SE,No
,Noctua NH-D15 G2 LBC 91.58 CFM,https://pcpartpicker.com/product/kZNYcf/noctua-nh-d15-g2-lbc-9158-cfm-cpu-cooler-nh-d15-g2-lbc,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Brown / Silver,1500 RPM,No,168 mm,,Noctua,24.8 dB,NH-D15 G2 LBC,No
