"component_type","component_name","component_link","Manufacturer","Part_#_#"
"Custom","Redragon Mechanical Gaming Keyboard, RGB Backlit Programmable Wired Mechanical Keyboard with Red Switch, Hot-Swappable, Anti-Ghosting, Double-Shot PBT Keycaps, Light Up Keyboard for PC Mac","https://pcpartpicker.com/product/J3sV3C/placeholder","Redragon","B0CF3VGQFL"
"","EZDIY-FAB PSU Cable Extension Sleeved Custom Mod GPU PC Power Supply Soft Nylon Braided with Comb Kit 24PIN/8PIN to 6+2Pin/ 8PIN to 4+4PIN-30CM 300MM - Black","https://pcpartpicker.com/product/7cyqqs/placeholder-","EZDIY-FAB","B082WVQP5T"
"","OKN Wi-Fi 6 (Gig+) Desktop Kit AX200 WiFi Card 3000Mbps + Bluetooth 5.1, Includes 5dBi High Gain Antennas and Brackets","https://pcpartpicker.com/product/zkNgXL/placeholder-","UFON","OKN-AX200-D"
"","Clovertale Braided ATX Sleeved Cable Extension kit for Power Supply Cable Kit, PSU connectors, 24 Pin, 8 pin, 6 pin 4 + 4 Pin, 6 pack, with cable mounts and ties (White)","https://pcpartpicker.com/product/nFPKHx/clovertale-braided-atx-sleeved-cable-extension-kit-for-power-supply-cable-kit-psu-connectors-24-pin-8-pin-6-pin-4-4-pin-6-pack-with-cable-mounts-and-ties-white","CloverTale","B078WQWVJZ"
"","CableMod Classic ModFlex E-Series Cable Kit for EVGA G3 / G2 / P2 / T2 - Black/Blue","https://pcpartpicker.com/product/xWRzK8/cablemod-classic-modflex-e-series-cable-kit-for-evga-g3-g2-p2-t2-blackblue","CableMod","CM-EV2-CKIT-KKB-R"
"","M.2 2280 SSD heatsink, Double-Sided Heat Sink, Matching Thermal Silicone pad for PCIE NVME M.2 SSD or SATA M.2 SSD","https://pcpartpicker.com/product/8sdxFT/m2-2280-ssd-heatsink-double-sided-heat-sink-matching-thermal-silicone-pad-for-pcie-nvme-m2-ssd-or-sata-m2-ssd","YATENG","SRP-002"
"","Microsoft - Controller for Xbox Series X, Xbox Series S, and Xbox One - Robot White","https://pcpartpicker.com/product/khH8TW/placeholder-","Microsoft","QAS-00001"
"","upHere 3-Pack Wireless RGB LED 120mm Case Fan,Quiet Edition High Airflow Adjustable Color LED Case Fan for PC Cases, CPU Coolers,Radiators system","https://pcpartpicker.com/product/V3448d/uphere-3-pack-wireless-rgb-led-120mm-case-fanquiet-edition-high-airflow-adjustable-color-led-case-fan-for-pc-cases-cpu-coolersradiators-system","upHere","RGB123-USA"
"","Lite-On Super AllWrite 24X SATA DVD+/-RW Dual Layer Drive - Bulk - IHAS124-04 (Black)","https://pcpartpicker.com/product/PRzZxr/lite-on-super-allwrite-24x-sata-dvd-rw-dual-layer-drive-bulk-ihas124-04-black","Lite-On","IHAS124-04 BLACK"
"","Thermal Grizzly KryoSheet (33 x 33 x 0,2 mm)","https://pcpartpicker.com/product/kH3NnQ/placeholder","Thermal Grizzly","TG-KS-24-12"
