"component_type","component_name","component_link","Channels","Color","Form_Factor","Manufacturer","PWM_4Pin","Part_#_#"
"Fan Controller","Thermalright TL-FAN and ARGB HUB x8","https://pcpartpicker.com/product/wfLdnQ/thermalright-tl-fan-and-argb-hub-x8-fan-controller-tl-fan-and-argb-hub-x8","4.0","Black","Internal","Thermalright","Yes","TL-FAN and ARGB HUB x8"
"","Noctua NV-FH2","https://pcpartpicker.com/product/s96NnQ/noctua-nv-fh2-fan-controller-nv-fh2","8.0","Black","Internal","Noctua","Yes","NV-FH2"
"","Noctua NV-FH2","https://pcpartpicker.com/product/s96NnQ/noctua-nv-fh2-fan-controller-nv-fh2","8.0","Black","Internal","Noctua","Yes","NV-FH2"
"","Noctua NV-FH2","https://pcpartpicker.com/product/s96NnQ/noctua-nv-fh2-fan-controller-nv-fh2","8.0","Black","Internal","Noctua","Yes","NV-FH2"
"","Thermalright TL-FAN-HUB-Controller","https://pcpartpicker.com/product/DzV2FT/thermalright-tl-fan-hub-controller-fan-controller-tl-fan-hub-controller","4.0","Black","Internal","Thermalright","Yes","TL-FAN-HUB-Controller"
,ARCTIC Case Fan Hub,https://pcpartpicker.com/product/cyNYcf/arctic-case-fan-hub-fan-controller-acfan00175a,10,Black,Internal,ARCTIC,Yes,ACFAN00175A,Case Fan Hub
,Razer RZ34-02140700-R3M1,https://pcpartpicker.com/product/Nrstt6/razer-rz34-02140700-r3m1-fan-controller-rz34-02140700-r3m1,8,Black,Internal,Razer,Yes,RZ34-02140700-R3M1
,Lian Li UNI HUB – SL Controller,https://pcpartpicker.com/product/2YMMnQ/lian-li-uni-hub-sl-controller-fan-controller-uf-in-l-connect3-wt,4,Black,Internal,Lian Li,Yes,UF-IN-L-CONNECT3 WT; 12SL-CONT3,UNI HUB – SL Controller
,Thermalright TL-FAN HUB X4,https://pcpartpicker.com/product/Gzrqqs/thermalright-tl-fan-hub-x4-fan-controller-tl-fan-hub-x4,4,Black,Internal,Thermalright,Yes,TL-FAN HUB X4
,Noctua NA-FH1,https://pcpartpicker.com/product/mHYRsY/noctua-na-fh1-fan-controller-na-fh1,8,Black,Internal,Noctua,Yes,NA-FH1,6 W
