"component_type","component_name","component_link","Active_Noise_Cancelling","Channels","Color","Connection","Enclosure_Type","Frequency_Response","Impedance","Manufacturer","Microphone","Model","Part_#_#","Sensitivity_at_1_V_RMS","Type","Wireless"
"Headphones","SteelSeries ARCTIS 7 2019 Edition 7.1 Channel","https://pcpartpicker.com/product/JkKcCJ/steelseries-61505-71-channel-headset-61505","No","7.1","Black","Stereo 3.5mm Audio; USB Type-A","Closed","20 Hz - 20 kHz","32 Ω","SteelSeries","Yes","ARCTIS 7 2019 Edition","61505","98 dB","Circumaural","Yes"
"","Razer Barracuda X (2021) 7.1 Channel","https://pcpartpicker.com/product/nCFbt6/razer-barracuda-x-2021-71-channel-headset-rz04-03800100-r3u1","No","7.1","Black","Stereo 3.5mm Audio; USB Type-C","Closed","20 Hz - 20 kHz","32 Ω","Razer","Yes","Barracuda X (2021)","RZ04-03800100-R3U1","96 dB","Circumaural","Yes"
"","SteelSeries Arctis Nova 7","https://pcpartpicker.com/product/3WCZxr/steelseries-arctis-nova-7-headset-61567","No","2.0","White / Black","Stereo 3.5mm Audio; USB Type-C; Wireless (Proprietary)","Closed","20 Hz - 22 kHz","36 Ω","SteelSeries","Yes","","61567","93 dB","Circumaural","Yes"
"","Corsair VIRTUOSO RGB Wireless XT","https://pcpartpicker.com/product/8jGbt6/corsair-virtuoso-rgb-wireless-xt-headset-ca-9011188-na","No","2.0","Black / Silver","USB Type-A","Closed","20 Hz - 40 kHz","32 Ω","Corsair","Yes","VIRTUOSO RGB Wireless XT","CA-9011188-NA; CA-9011188-EU","109 dB","Circumaural","Yes"
"","Sennheiser HD 560S","https://pcpartpicker.com/product/sBvdnQ/sennheiser-hd-560s-headphones-hd-560s","No","2.0","Black","Stereo 3.5mm Audio; Stereo 6.3mm Audio","Open","6 Hz - 38 kHz","120 Ω","Sennheiser","No","","HD 560S","110 dB","Circumaural","No"
"","HP HyperX Cloud III","https://pcpartpicker.com/product/DfjRsY/hp-hyperx-cloud-iii-headset-77z45aa","No","2.0","Black","USB Type-A; Wireless (Proprietary)","Closed","10 Hz - 21 kHz","","HP","Yes","","77Z45AA","","Circumaural","Yes"
"","Sennheiser HD 560S","https://pcpartpicker.com/product/sBvdnQ/sennheiser-hd-560s-headphones-hd-560s","No","2.0","Black","Stereo 3.5mm Audio; Stereo 6.3mm Audio","Open","6 Hz - 38 kHz","120 Ω","Sennheiser","No","","HD 560S","110 dB","Circumaural","No"
"","Sennheiser HD 560S","https://pcpartpicker.com/product/sBvdnQ/sennheiser-hd-560s-headphones-hd-560s","No","2.0","Black","Stereo 3.5mm Audio; Stereo 6.3mm Audio","Open","6 Hz - 38 kHz","120 Ω","Sennheiser","No","","HD 560S","110 dB","Circumaural","No"
"","SteelSeries Arctis Pro","https://pcpartpicker.com/product/Zhm323/steelseries-arctis-pro-headset-61473","No","2.0","Black","Stereo 3.5mm Audio; USB Type-A","Closed","10 Hz - 40 kHz","32 Ω","SteelSeries","Yes","","61473","102 dB","Circumaural","Yes"
"","Corsair VOID RGB ELITE 7.1 Channel","https://pcpartpicker.com/product/wW4BD3/corsair-void-rgb-elite-71-channel-headset-ca-9011201-na","No","7.1","Black","USB Type-A","Closed","20 Hz - 30 kHz","32 Ω","Corsair","Yes","VOID RGB ELITE","CA-9011201-NA; CA-9011201-EU","116 dB","Circumaural","Yes"
