"component_type","component_name","component_link","Backlit","Color","Connection_Type","Layout","Manufacturer","Mechanical","Mouse_Included","Part_#_#","Style","Switch_Type","Tenkeyless"
"Keyboard","Logitech G915 Lightspeed RGB Wireless Gaming","https://pcpartpicker.com/product/VMZzK8/logitech-g915-lightspeed-rgb-wireless-gaming-keyboard-920-008902","RGB","Black","Wireless","English (US)","Logitech","Yes","No","920-008902; 920-008910","Gaming","Logitech GL Tactile","No"
"","Keychron K8 Aluminum Frame Bluetooth/Wired Standard","https://pcpartpicker.com/product/Hprqqs/keychron-k8-aluminum-frame-bluetoothwired-standard-keyboard-32018252988505","","Black / Gray","Wired; Bluetooth Wireless","English (US)","Keychron","Yes","No","32018252988505","Standard","Gateron G Pro Red Hot-swappable","Yes"
"","Logitech PRO X RGB Bluetooth/Wireless/Wired/Wired Gaming","https://pcpartpicker.com/product/BKNYcf/logitech-pro-x-rgb-bluetoothwirelesswiredwired-gaming-keyboard-920-012143","RGB","White","Wired; Wired; Wireless; Bluetooth Wireless","English (US)","Logitech","Yes","No","920-012143","Gaming","Logitech GX Brown Tactile","Yes"
"","Logitech G715 RGB Wired/Wireless/Bluetooth Gaming","https://pcpartpicker.com/product/2yYmP6/logitech-g715-rgb-wiredwirelessbluetooth-gaming-keyboard-920-010453","RGB","White","Wired; Wireless; Bluetooth Wireless","English (US)","Logitech","Yes","No","920-010453; 920-010465; 920-010467","Gaming","GX Brown","Yes"
"","Logitech PRO X RAPID RGB Wired Gaming","https://pcpartpicker.com/product/2twmP6/logitech-pro-x-rapid-rgb-wired-gaming-keyboard-920-013131","RGB","Black","Wired","English (US)","Logitech","Yes","No","920-013131; 920-013234","Gaming","Logitech Magnetic Analog","Yes"
"","Razer Huntsman V3 Pro RGB Wired Gaming","https://pcpartpicker.com/product/WDTZxr/razer-huntsman-v3-pro-rgb-wired-gaming-keyboard-rz03-04980200-r3u1","RGB","Black","Wired","English (US)","Razer","Yes","No","RZ03-04980200-R3U1; RZ03-04980100-R3M1","Gaming","Razer Analog Optical Switch Gen-2","Yes"
"","Keychron V1 Max Bluetooth/Wireless/Wired/Wired Mini","https://pcpartpicker.com/product/P8grxr/keychron-v1-max-bluetoothwirelesswiredwired-mini-keyboard-v1m-d1","","Black / Blue","Wired; Wired; Wireless; Bluetooth Wireless","English (US)","Keychron","Yes","No","V1M-D1; KBKCV1MD1","Mini","Gateron Jupiter Red","Yes"
"","Keychron Q6 RGB Wired Gaming","https://pcpartpicker.com/product/WpbRsY/keychron-q6-rgb-wired-gaming-keyboard-q6j3","RGB","Blue","Wired","English (US)","Keychron","No","No","Q6J3","Gaming","Gateron G Pro Brown","No"
"","Logitech G915 X LIGHTSPEED RGB Wired/Wireless/Bluetooth Gaming","https://pcpartpicker.com/product/nZsV3C/logitech-g915-x-lightspeed-rgb-wiredwirelessbluetooth-gaming-keyboard-920-012696","RGB","Black","Wired; Wireless; Bluetooth Wireless","English (US)","Logitech","No","No","920-012696; 920-012699","Gaming","Logitech Low-Profile GL Linear","No"
"","Logitech G213 RGB Wired Gaming","https://pcpartpicker.com/product/N7NxFT/logitech-g213-rgb-wired-gaming-keyboard-920-009284","RGB","Black","Wired","English (US)","Logitech","No","No","920-009284","Gaming","","No"
"","Razer BlackWidow V4 Pro RGB Wired Gaming","https://pcpartpicker.com/product/9w3NnQ/razer-blackwidow-v4-pro-rgb-wired-gaming-keyboard-rz03-04681900-r3u1","RGB","Black","Wired","English (US)","Razer","No","No","RZ03-04681900-R3U1; RZ03-04680100-R3M1; RZ03-04680100","Gaming","Razer Green","No"
"","Razer Ornata V3 X RGB Wired Gaming","https://pcpartpicker.com/product/xrkWGX/razer-ornata-v3-x-rgb-wired-gaming-keyboard-rz03-04470200-r3u1","RGB","Black","Wired","English (US)","Razer","No","No","RZ03-04470200-R3U1","Gaming","","No"
"","HP HyperX Alloy Core RGB Wired Gaming","https://pcpartpicker.com/product/BvL48d/hp-hyperx-alloy-core-rgb-wired-gaming-keyboard-hx-kb5me2-us","RGB","Black","Wired","English (US)","HP","No","No","HX-KB5ME2-US; 4P4F5AA#ABA; 4P4F5AA","Gaming","","No"
"","SteelSeries Apex Pro TKL (2023) RGB Wired/Bluetooth/Wireless Gaming","https://pcpartpicker.com/product/TRkH99/steelseries-apex-pro-tkl-2023-rgb-wiredbluetoothwireless-gaming-keyboard-64865","RGB","Black","Wired; Wireless; Bluetooth Wireless","English (US)","SteelSeries","Yes","No","64865; ss-64865","Gaming","SteelSeries OmniPoint 2.0","Yes"
