component_type,component_name,component_link,CAS_Latency,Color,ECC_Registered,First_Word_Latency,Form_Factor,Heat_Spreader,Inferred_,Manufacturer,Modules,Part_#_#,Price_GB,Speed,Timing,Voltage
Memory,G.Skill Trident Z5 RGB 32 GB (2 x 16 GB) DDR5-7200 CL34,https://pcpartpicker.com/product/qxXJ7P/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-7200-cl34-memory-f5-7200j3445g16gx2-tz5rk,34,Black,Non-ECC / Unbuffered,9.444 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-7200J3445G16GX2-TZ5RK,$4.06 ,DDR5-7200,34-45-45-115,1.4 V
,TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/H9CZxr/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ctced532g6000hc30dc01,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,TEAMGROUP,2 x 16GB,CTCED532G6000HC30DC01,$2.91 ,DDR5-6000,30-36-36-76,1.35 V
,Corsair Dominator Titanium 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/XxV2FT/corsair-dominator-titanium-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmp32gx5m2b6000z30,30,Gray,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMP32GX5M2B6000Z30,$5.50 ,DDR5-6000,30-36-36-76,1.4 V
,TEAMGROUP T-Force Delta RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/2bJtt6/teamgroup-t-force-delta-rgb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-tf3d416g3200hc16cdc01,16,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 8GB,TF3D416G3200HC16CDC01,$2.50 ,DDR4-3200,16-18-18-38,1.35 V
,Silicon Power Value Gaming 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/cCKscf/silicon-power-value-gaming-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-sp032gxlwu60afdeae,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Silicon Power,2 x 16GB,SP032GXLWU60AFDEAE; SP032GXLWU60AFDJ,$2.69 ,DDR5-6000,30-38-38-96,1.35 V
,G.Skill Trident Z5 Neo RGB 64 GB (2 x 32 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/hRQcCJ/gskill-trident-z5-neo-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5nr,30,Black / Silver,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 32GB,F5-6000J3040G32GX2-TZ5NR,$3.13 ,DDR5-6000,30-40-40-96,1.4 V
,Silicon Power XPOWER Turbine 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/zBTzK8/silicon-power-xpower-turbine-16-gb-2-x-8-gb-ddr4-3200-memory-sp016gxlzu320bda,16,Blue,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Silicon Power,2 x 8GB,SP016GXLZU320BDA,$1.62 ,DDR4-3200,,1.35 V
,Silicon Power GAMING 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/P4FKHx/silicon-power-sp016gxlzu320bdaj5-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-sp016gxlzu320bdaj5,16,Black / Gray,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Silicon Power,2 x 8GB,SP016GXLZU320BDAJ5,$1.62 ,DDR4-3200,,1.35 V
,TEAMGROUP T-Force Vulcan Z 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/z3VD4D/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3200-memory-tlzgd416g3200hc16cdc01,16,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 8GB,TLZGD416G3200HC16CDC01,$1.69 ,DDR4-3200,16-18-18-38,1.35 V
,TEAMGROUP T-Force Delta RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,https://pcpartpicker.com/product/TBfFf7/team-t-force-delta-rgb-16-gb-2-x-8-gb-ddr4-3600-cl18-memory-tf4d416g3600hc18jdc01,18,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 8GB,TF4D416G3600HC18JDC01,$2.56 ,DDR4-3600,18-22-22-42,1.35 V
,G.Skill Ripjaws S5 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/x4VmP6/gskill-ripjaws-s5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3040f16gx2-rs5k,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-6000J3040F16GX2-RS5K,$3.28 ,DDR5-6000,30-40-40-96,1.35 V
