component_name,component_link,CAS_Latency,Color,First_Word_Latency,Form_Factor,Heat_Spreader,Manufacturer,Modules,Part__,Price_GB,Speed,Voltage,Speed_MHz,CL,tRCD,tRP,tRAS,ECC_Support,DDR_Type
G.Skill Trident Z5 Rgb 32 Gb (2 X 16 Gb) Ddr5-7200 Cl34,https://pcpartpicker.com/product/qxXJ7P/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-7200-cl34-memory-f5-7200j3445g16gx2-tz5rk,34,Black,9.444,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 16GB,F5-7200J3445G16GX2-TZ5RK,3,DDR5-7200,1.4,5,34,45,45,115,TRUE,DDR5
Teamgroup T-Create Expert 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/H9CZxr/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ctced532g6000hc30dc01,30,Black,10,288-pin DIMM (DDR5),TRUE,Teamgroup,2 x 16GB,CTCED532G6000HC30DC01,3,DDR5-6000,1.35,5,30,36,36,76,TRUE,DDR5
Corsair Dominator Titanium 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/XxV2FT/corsair-dominator-titanium-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmp32gx5m2b6000z30,30,Gray,10,288-pin DIMM (DDR5),TRUE,Corsair,2 x 16GB,CMP32GX5M2B6000Z30,3,DDR5-6000,1.4,5,30,36,36,76,TRUE,DDR5
Teamgroup T-Force Delta Rgb 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/2bJtt6/teamgroup-t-force-delta-rgb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-tf3d416g3200hc16cdc01,16,Black,10,288-pin DIMM (DDR4),TRUE,Teamgroup,2 x 8GB,TF3D416G3200HC16CDC01,3,DDR4-3200,1.35,4,16,18,18,38,TRUE,DDR4
Silicon Power Value Gaming 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/cCKscf/silicon-power-value-gaming-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-sp032gxlwu60afdeae,30,Black,10,288-pin DIMM (DDR5),TRUE,Silicon Power,2 x 16GB,SP032GXLWU60AFDEAE,3,DDR5-6000,1.35,5,30,38,38,96,TRUE,DDR5
G.Skill Trident Z5 Neo Rgb 64 Gb (2 X 32 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/hRQcCJ/gskill-trident-z5-neo-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5nr,30,Black / Silver,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 32GB,F5-6000J3040G32GX2-TZ5NR,3,DDR5-6000,1.4,5,30,40,40,96,TRUE,DDR5
Silicon Power Xpower Turbine 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/zBTzK8/silicon-power-xpower-turbine-16-gb-2-x-8-gb-ddr4-3200-memory-sp016gxlzu320bda,16,Blue,10,288-pin DIMM (DDR4),TRUE,Silicon Power,2 x 8GB,SP016GXLZU320BDA,3,DDR4-3200,1.35,4,,,,,TRUE,DDR4
Silicon Power Gaming 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/P4FKHx/silicon-power-sp016gxlzu320bdaj5-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-sp016gxlzu320bdaj5,16,Black / Gray,10,288-pin DIMM (DDR4),TRUE,Silicon Power,2 x 8GB,SP016GXLZU320BDAJ5,3,DDR4-3200,1.35,4,,,,,TRUE,DDR4
Teamgroup T-Force Vulcan Z 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/z3VD4D/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3200-memory-tlzgd416g3200hc16cdc01,16,Black,10,288-pin DIMM (DDR4),TRUE,Teamgroup,2 x 8GB,TLZGD416G3200HC16CDC01,3,DDR4-3200,1.35,4,16,18,18,38,TRUE,DDR4
Teamgroup T-Force Delta Rgb 16 Gb (2 X 8 Gb) Ddr4-3600 Cl18,https://pcpartpicker.com/product/TBfFf7/team-t-force-delta-rgb-16-gb-2-x-8-gb-ddr4-3600-cl18-memory-tf4d416g3600hc18jdc01,18,White,10,288-pin DIMM (DDR4),TRUE,Teamgroup,2 x 8GB,TF4D416G3600HC18JDC01,3,DDR4-3600,1.35,4,18,22,22,42,TRUE,DDR4
