Build Title,Component,Product Name,Link
"""cool boy B)"" (second build)",Power Supply,Unknown,https://pcpartpicker.com/product/fxGhP6/corsair-rm1000e-2023-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020264-na
$1000 MINI BEAST Setup,Video Card,Missing,No Link
$1000 Performance Build,Power Supply,Unknown,https://pcpartpicker.com/product/YYZ9TW/nzxt-c850-2022-850-w-80-gold-certified-fully-modular-atx-power-supply-pa-8g1bb-us
"$330 ""Purgatory"" Budget 1080p build",Case,Missing,No Link
"$330 ""Purgatory"" Budget 1080p build",Motherboard,Missing,No Link
$700 USD build for a friend,Power Supply,Unknown,https://pcpartpicker.com/product/sH26Mp/deepcool-pk700d-700-w-80-bronze-certified-atx-power-supply-r-pk700d-fa0b-us
$700 USD build for my brother's girlfriend,Case,Unknown,https://pcpartpicker.com/product/wvmmP6/montech-air-100-argb-microatx-mid-tower-case-air-100-argb-white
$700 USD build for my brother's girlfriend,Power Supply,Unknown,https://pcpartpicker.com/product/ZwbTwP/gigabyte-p650g-us-650-w-80-gold-certified-atx-power-supply-gp-p650g-us
'Gators Edition' Thermaltake Tower 100 m-ITX Gaming Build,Power Supply,Unknown,https://pcpartpicker.com/product/pt3gXL/evga-supernova-850-gm-850-w-80-gold-certified-fully-modular-sfx-power-supply-123-gm-0850-x1
01 - Desktop PC (2024 version),CPU,Missing,No Link
01 - Desktop PC (2024 version),Memory,Missing,No Link
01 - Desktop PC (2024 version),Motherboard,Missing,No Link
01 - Desktop PC (2024 version),Power Supply,Unknown,https://pcpartpicker.com/product/jCCZxr/corsair-rm1200e-1200-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020258-na
1 Year update/refresh of https://pcpartpicker.com/b/sPQD4D,Power Supply,Unknown,https://pcpartpicker.com/product/zQNxFT/evga-supernova-1000-gt-1000-w-80-gold-certified-fully-modular-atx-power-supply-220-gt-1000-x1
1080p solidPC,Case,Unknown,https://pcpartpicker.com/product/Wvqrxr/endorfy-ventum-200-air-atx-mid-tower-case-ey2a002
11900k/3080 CyberPower Case Sawp,Case,Unknown,https://pcpartpicker.com/product/6WfnTW/corsair-7000d-airflow-atx-mid-tower-case-cc-9011219-ww
11900k/3080 CyberPower Case Sawp,Power Supply,Unknown,https://pcpartpicker.com/product/XRmxFT/thermaltake-toughpower-grand-rgb-750w-80-gold-certified-fully-modular-atx-power-supply-ps-tpg-0750fpcgus-r
1440p Pusher,Power Supply,Unknown,https://pcpartpicker.com/product/6NcG3C/corsair-rm750x-2021-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020199-na
1440p White Fishtank Build,Power Supply,Unknown,https://pcpartpicker.com/product/CFbCmG/adata-xpg-core-reactor-850-850-w-80-gold-certified-fully-modular-atx-power-supply-corereactor850g-bkcus
