"component_type","component_name","component_link","Aspect_Ratio","Brightness","Builtin_Speakers","Color","Curved_Screen","Frame_Sync","HDR_Tier","Inputs","Manufacturer","Panel_Type","Part_#_#","Pixel_Pitch","Refresh_Rate","Resolution","Response_Time_G2G","Screen_Size","VESA_Mounting","Viewing_Angle","Widescreen"
"Monitor","MSI G274QPX 27.0"" 2560 x 1440 240 Hz","https://pcpartpicker.com/product/zQyH99/msi-g274qpx-270-2560-x-1440-240-hz-monitor-g274qpx","16:9","400 cd/m²","No","Black","No","FreeSync","HDR 400","1 x USB Type-C; 1 x DisplayPort; 1 x HDMI","MSI","IPS","G274QPX","0.233 mm","240 Hz","2560 x 1440","1 ms","27""","75 x 75","178° H x 178° V","Yes"
"","LG 27GN950-B 27.0"" 3840 x 2160 144 Hz","https://pcpartpicker.com/product/DPrYcf/lg-27gn950-b-270-3840x2160-144-hz-monitor-27gn950-b","16:9","400 cd/m²","No","Black / Red","No","FreeSync Premium Pro; G-Sync Compatible","HDR 600","2 x HDMI; 1 x DisplayPort","LG","IPS","27GN950-B; 27GN950-B.AEU","0.156 mm","144 Hz","3840 x 2160","1 ms","27""","","178° H x 178° V","Yes"
"","MSI Optix G241 23.8"" 1920 x 1080 144 Hz","https://pcpartpicker.com/product/pXMTwP/msi-optix-g241-238-1920x1080-144-hz-monitor-optix-g241","16:9","250 cd/m²","No","Black","No","FreeSync","","2 x HDMI; 1 x DisplayPort","MSI","IPS","Optix G241; 9S6-3BA41T-006; 9S6-3BA41T-002; G241","0.274 mm","144 Hz","1920 x 1080","1 ms","23.8""","","178° H x 178° V","Yes"
"","MSI Optix MAG341CQ 34.0"" 3440 x 1440 100 Hz Curved","https://pcpartpicker.com/product/pDsmP6/msi-optix-mag341cq-340-3440x1440-100hz-monitor-optix-mag341cq","21:9","250 cd/m²","No","Black / Red","Yes","FreeSync","","1 x HDMI; 1 x DisplayPort; 1 x DVI","MSI","VA","Optix MAG341CQ","0.232 mm","100 Hz","3440 x 1440","8 ms","34""","","178° H x 178° V","Yes"
"","Acer XV272U Pbmiiprzx 27.0"" 2560 x 1440 144 Hz","https://pcpartpicker.com/product/LFRzK8/acer-xv272u-pbmiiprzx-270-2560x1440-144-hz-monitor-xv272u-pbmiiprzx","16:9","400 cd/m²","Yes","Black","No","FreeSync; G-Sync Compatible","","2 x HDMI; 1 x DisplayPort","Acer","IPS","XV272U Pbmiiprzx; UM.HX2EE.P01","0.233 mm","144 Hz","2560 x 1440","1 ms","27""","","178° H x 178° V","Yes"
"","LG 34UC89G-B 34.0"" 2560 x 1080 166 Hz Curved","https://pcpartpicker.com/product/q9x9TW/lg-34uc89g-b-340-2560x1080-166hz-monitor-34uc89g-b","21:9","300 cd/m²","No","","Yes","G-Sync","","1 x HDMI; 1 x DisplayPort","LG","IPS","34UC89G-B; 34UC89G-B.AEU","0.311 mm","166 Hz","2560 x 1080","5 ms","34""","","178° H x 178° V","Yes"
"","Dell G2724D 27.0"" 2560 x 1440 165 Hz","https://pcpartpicker.com/product/vyqrxr/dell-g2724d-270-2560-x-1440-165-hz-monitor-g2724d","16:9","400 cd/m²","No","Black","No","FreeSync Premium; G-Sync Compatible","HDR 400","1 x HDMI; 2 x DisplayPort 1.4","Dell","IPS","G2724D; D09JJ","0.233 mm","165 Hz","2560 x 1440","1 ms","27""","100 x 100","178° H x 178° V","Yes"
"","Dell S2721DGF 27.0"" 2560 x 1440 165 Hz","https://pcpartpicker.com/product/K2cRsY/dell-s2721dgf-270-2560x1440-165-hz-monitor-s2721dgf","16:9","400 cd/m²","No","Silver / Blue","No","FreeSync Premium Pro; G-Sync Compatible","","2 x HDMI; 1 x DisplayPort","Dell","IPS","S2721DGF; DCY89; 210-AXEH","0.233 mm","165 Hz","2560 x 1440","1 ms","27""","","178° H x 178° V","Yes"
"","LG 27GL83A-B 27.0"" 2560 x 1440 144 Hz","https://pcpartpicker.com/product/wXRgXL/lg-27gl83a-b-270-2560-x-1440-144-hz-monitor-27gl83a-b","16:9","350 cd/m²","No","Black / Red","No","FreeSync; G-Sync Compatible","","1 x HDMI; 1 x DisplayPort","LG","IPS","27GL83A-B","0.233 mm","144 Hz","2560 x 1440","1 ms","27""","100 x 100","178° H x 178° V","Yes"
"","Dell S2721DGF 27.0"" 2560 x 1440 165 Hz","https://pcpartpicker.com/product/K2cRsY/dell-s2721dgf-270-2560x1440-165-hz-monitor-s2721dgf","16:9","400 cd/m²","No","Silver / Blue","No","FreeSync Premium Pro; G-Sync Compatible","","2 x HDMI; 1 x DisplayPort","Dell","IPS","S2721DGF; DCY89; 210-AXEH","0.233 mm","165 Hz","2560 x 1440","1 ms","27""","","178° H x 178° V","Yes"
