component_type,component_name,component_link,Chipset,Color,Form_Factor,Inferred_,M.2_Slots,Manufacturer,Memory_Max,Memory_Slots,Memory_Speed,Memory_Type,Onboard_Ethernet,Onboard_Video,PCIe_x16_Slots,Part_#_#,RAID_Support,SATA_6.0_Gb_s_Ports,SLI_CrossFire,Socket_CPU,Supports_ECC,USB_2.0_Headers,USB_3.2_Gen_1_Headers,USB_3.2_Gen_2x2_Headers,Uses_BackConnect_Connectors,Wireless_Networking,,,,,
Motherboard,Gigabyte Z790 AORUS MASTER EATX LGA1700,https://pcpartpicker.com/product/bQXJ7P/gigabyte-z790-aorus-master-eatx-lga1700-motherboard-z790-aorus-master,Intel Z790,Black / Silver,EATX,,2580/25110 M-key; 2280/22110 M-key; 2280/22110 M-key; 2260/2280 M-key; 2260/2280 M-key,Gigabyte,192 GB,4,DDR5-4000; DDR5-4800; DDR5-5200; DDR5-5400; DDR5-5600; DDR5-5800; DDR5-6000; DDR5-6200; DDR5-6400; DDR5-6600; DDR5-6800; DDR5-7000; DDR5-7200; DDR5-7400; DDR5-7600; DDR5-7800; DDR5-7900; DDR5-7950,DDR5,1 x 10 Gb/s Ports (Marvell AQtion AQC113C),Depends on CPU,3,Z790 AORUS MASTER; Z790 AORUS MASTER 1.0,Yes,4,CrossFire Capable,LGA1700,No,2,2,1,No,Wi-Fi 6E,,,,,
,MSI MPG X870E CARBON WIFI ATX AM5,https://pcpartpicker.com/product/dGWJ7P/msi-mpg-x870e-carbon-wifi-atx-am5-motherboard-mpg-x870e-carbon-wifi,AMD X870E,Black,ATX,,2260/2280 M-key; 2260/2280 M-key; 2280/22110 M-key; 2260/2280 M-key,MSI,256 GB,4,DDR5-4800; DDR5-5000; DDR5-5200; DDR5-5400; DDR5-5600; DDR5-5800; DDR5-6000; DDR5-6200; DDR5-6400; DDR5-6600; DDR5-6800; DDR5-7000; DDR5-7200; DDR5-7400; DDR5-7600; DDR5-7800; DDR5-8000; DDR5-8200; DDR5-8400,DDR5,1 x 5 Gb/s Ports (Realtek 8126); 1 x 2.5 Gb/s Ports (Realtek 8125),Depends on CPU,3,MPG X870E CARBON WIFI; 7E49-001R; 911-7E49-08S,Yes,4,,AM5,No,2,2,1,No,Wi-Fi 7,,,,,
,ASRock Z690 Phantom Gaming-ITX/TB4 Mini ITX LGA1700,https://pcpartpicker.com/product/Wk8bt6/asrock-z690-phantom-gaming-itxtb4-mini-itx-lga1700-motherboard-z690-phantom-gaming-itxtb4,Intel Z690,Black / Red,Mini ITX,,2280 M-key; 2280 M-key; 2230 E-key,ASRock,96 GB,2,DDR5-4800; DDR5-5000; DDR5-5200; DDR5-5400; DDR5-5600; DDR5-5800; DDR5-6000; DDR5-6200; DDR5-6400,DDR5,1 x 2.5 Gb/s Ports (Intel Killer E3100G),Depends on CPU,1,Z690 Phantom Gaming-ITX/TB4; 90-MXBI10-A0UAYZ,Yes,3,,LGA1700,No,1,1,1,No,Wi-Fi 6,,,,,
,Gigabyte B650 GAMING X AX ATX AM5,https://pcpartpicker.com/product/YZgFf7/gigabyte-b650-gaming-x-ax-atx-am5-motherboard-b650-gaming-x-ax,AMD B650,Black / Gray,ATX,,2580/25110 M-key; 2580/25110 M-key; 2580/25110 M-key,Gigabyte,192 GB,4,DDR5-4400; DDR5-4800; DDR5-5200; DDR5-5600; DDR5-6000; DDR5-6200; DDR5-6400,DDR5,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,3,B650 GAMING X AX,Yes,4,,AM5,No,2,1,1,No,Wi-Fi 6E,,,,,
,ASRock X870E Taichi EATX AM5,https://pcpartpicker.com/product/6HkH99/asrock-x870e-taichi-eatx-am5-motherboard-x870e-taichi,AMD X870E,Black,EATX,,2280 M-key; 2280 M-key; 2280 M-key; 2280 M-key; 2230 E-key,ASRock,256 GB,4,DDR5-4400; DDR5-4800; DDR5-5200; DDR5-5600; DDR5-6000; DDR5-6200; DDR5-6400; DDR5-6600; DDR5-6800; DDR5-7000; DDR5-7200; DDR5-7600; DDR5-7800; DDR5-8000; DDR5-8200,DDR5,1 x 5 Gb/s Ports (Realtek 8126),Depends on CPU,2,X870E Taichi; 90-MXBP90-A0UAYZ,Yes,6,CrossFire Capable,AM5,No,2,2,1,No,Wi-Fi 7,,,,,
,Gigabyte B650 GAMING X AX V2 ATX AM5,https://pcpartpicker.com/product/cPNYcf/gigabyte-b650-gaming-x-ax-v2-atx-am5-motherboard-b650-gaming-x-ax-v2,AMD B650,Gray / Black,ATX,,2580/25110 M-key; 2580/25110 M-key; 2580/25110 M-key,Gigabyte,192 GB,4,DDR5-4400; DDR5-4800; DDR5-5200; DDR5-5600; DDR5-6000; DDR5-6200; DDR5-6400; DDR5-6600; DDR5-6800; DDR5-7000; DDR5-7200; DDR5-7600; DDR5-7800; DDR5-8000,DDR5,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,3,B650 GAMING X AX V2,Yes,4,,AM5,No,2,1,1,No,Wi-Fi 6E,,,,,
,ASRock B850 Pro RS WiFi ATX AM5,https://pcpartpicker.com/product/hRG2FT/asrock-b850-pro-rs-wifi-atx-am5-motherboard-b850-pro-rs-wifi,AMD B850,Silver / Black,ATX,,2280 M-key; 2280 M-key; 2230/2242/2260/2280 M-key; 2280 M-key; 2230 E-key,ASRock,256 GB,4,DDR5-4400; DDR5-4800; DDR5-5200; DDR5-5600; DDR5-6000; DDR5-6200; DDR5-6400; DDR5-6600; DDR5-6800; DDR5-7000; DDR5-7200; DDR5-7600; DDR5-7800; DDR5-8000,DDR5,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2,B850 Pro RS WiFi; 90-MXBQL-A0UAYZ; 90-MXBQL0-A0UAYZ,Yes,4,,AM5,No,2,2,1,No,Wi-Fi 6E,,,,,
,Gigabyte B650 AORUS ELITE AX ATX AM5,https://pcpartpicker.com/product/WBwypg/gigabyte-b650-aorus-elite-ax-atx-am5-motherboard-b650-aorus-elite-ax,AMD B650,Black / Silver,ATX,,2580/25110 M-key; 2580/25110 M-key; 2580/25110 M-key,Gigabyte,192 GB,4,DDR5-4400; DDR5-4800; DDR5-5200; DDR5-5600; DDR5-6000; DDR5-6200; DDR5-6400; DDR5-6600,DDR5,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,3,B650 AORUS ELITE AX,Yes,4,,AM5,No,2,1,1,No,Wi-Fi 6E,,,,,
,Gigabyte X870 AORUS ELITE WIFI7 ATX AM5,https://pcpartpicker.com/product/836NnQ/gigabyte-x870-aorus-elite-wifi7-atx-am5-motherboard-x870-aorus-elite-wifi7,AMD X870,Black,ATX,,2580/25110 M-key; 2280/22110 M-key; 2280/22110 M-key; 2280/22110 M-key,Gigabyte,256 GB,4,DDR5-4400; DDR5-4800; DDR5-5200; DDR5-5600; DDR5-6000; DDR5-6200; DDR5-6400; DDR5-6600; DDR5-6666; DDR5-6800; DDR5-7000; DDR5-7200; DDR5-7600; DDR5-7800; DDR5-8000,DDR5,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,3,X870 AORUS ELITE WIFI7; X870 A ELITE WIFI7,Yes,4,,AM5,No,2,1,1,No,Wi-Fi 7,,,,,
,Gigabyte X870E AORUS PRO ICE ATX AM5,https://pcpartpicker.com/product/3QtLrH/gigabyte-x870e-aorus-pro-ice-atx-am5-motherboard-x870e-aorus-pro-ice,AMD X870E,White,ATX,,2580/25110 M-key; 2280/22110 M-key; 2280/22110 M-key; 2280/22110 M-key,Gigabyte,256 GB,4,DDR5-4400; DDR5-4800; DDR5-5200; DDR5-5600; DDR5-6000; DDR5-6200; DDR5-6400; DDR5-6600; DDR5-6666; DDR5-6800; DDR5-7000; DDR5-7200; DDR5-7600; DDR5-7800; DDR5-8000,DDR5,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,3,X870E AORUS PRO ICE,Yes,4,,AM5,No,2,2,1,No,Wi-Fi 7,,,,,
