Build Title,Component,Product Name,Link
"""End Game"" 1440p Build",CPU,Intel Core i9-13900K 3 GHz 24-Core,https://pcpartpicker.com/product/DhVmP6/intel-core-i9-13900k-3-ghz-24-core-processor-bx8071513900k
"""End Game"" 1440p Build",Memory,G.Skill Trident Z5 RGB 32 GB (2 x 16 GB) DDR5-7200 CL34,https://pcpartpicker.com/product/qxXJ7P/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-7200-cl34-memory-f5-7200j3445g16gx2-tz5rk
"""End Game"" 1440p Build",Motherboard,Gigabyte Z790 AORUS MASTER EATX LGA1700,https://pcpartpicker.com/product/bQXJ7P/gigabyte-z790-aorus-master-eatx-lga1700-motherboard-z790-aorus-master
"""End Game"" 1440p Build",Power Supply,be quiet! Straight Power 12 1200 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/L7CZxr/be-quiet-straight-power-12-1200-w-80-platinum-certified-fully-modular-atx-power-supply-bn339
"""End Game"" 1440p Build",Storage,Seagate FireCuda 540 2 TB M.2-2280 PCIe 5.0 X4 NVME SSD,https://pcpartpicker.com/product/pkwmP6/seagate-firecuda-540-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-zp2000gm3a004
"""End Game"" 1440p Build",Video Card,NVIDIA Founders Edition GeForce RTX 3090 24 GB,https://pcpartpicker.com/product/PFVG3C/nvidia-geforce-rtx-3090-24-gb-founders-edition-video-card-900-1g136-2510-000
C8 Curve - Corsair - 9800X3D Build,CPU,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof
C8 Curve - Corsair - 9800X3D Build,Memory,Corsair Dominator Titanium 64 GB (2 x 32 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/xnNYcf/corsair-dominator-titanium-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmp64gx5m2b6000z30
C8 Curve - Corsair - 9800X3D Build,Motherboard,Asus ROG STRIX X870E-E GAMING WIFI ATX AM5,https://pcpartpicker.com/product/MfNYcf/asus-rog-strix-x870e-e-gaming-wifi-atx-am5-motherboard-rog-strix-x870e-e-gaming-wifi
C8 Curve - Corsair - 9800X3D Build,Power Supply,be quiet! Straight Power 12 1500 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/GjWJ7P/be-quiet-straight-power-12-1500-w-80-platinum-certified-fully-modular-atx-power-supply-bn340
C8 Curve - Corsair - 9800X3D Build,Storage,Crucial T705 W/Heatsink 2 TB M.2-2280 PCIe 5.0 X4 NVME SSD,https://pcpartpicker.com/product/zzdG3C/crucial-t705-wheatsink-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct2000t705ssd5
C8 Curve - Corsair - 9800X3D Build,Video Card,Gigabyte AORUS MASTER GeForce RTX 3080 Ti 12 GB,https://pcpartpicker.com/product/JYXJ7P/gigabyte-geforce-rtx-3080-ti-12-gb-aorus-master-video-card-gv-n308taorus-m-12gd
Mi primera build,CPU,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof
Mi primera build,Memory,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/mjt9TW/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmh32gx5m2b6000z30k
Mi primera build,Motherboard,MSI MAG B850 TOMAHAWK MAX WIFI ATX AM5,https://pcpartpicker.com/product/vjpD4D/msi-mag-b850-tomahawk-max-wifi-atx-am5-motherboard-mag-b850-tomahawk-max-wifi
Mi primera build,Power Supply,MSI MAG A850GL PCIE5 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/zF4Zxr/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5
Mi primera build,Storage,Western Digital Black SN770 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/4KRYcf/western-digital-2-tb-m2-2280-nvme-solid-state-drive-wds200t3x0e
Mi primera build,Video Card,Sapphire NITRO+ Radeon RX 7800 XT 16 GB,https://pcpartpicker.com/product/N4P8TW/sapphire-nitro-radeon-rx-7800-xt-16-gb-video-card-11330-01-20g
My H5 Flow (2024),CPU,Intel Core i9-13900K 3 GHz 24-Core,https://pcpartpicker.com/product/DhVmP6/intel-core-i9-13900k-3-ghz-24-core-processor-bx8071513900k
My H5 Flow (2024),Memory,Klevv CRAS V RGB 64 GB (2 x 32 GB) DDR5-6400 CL32,https://pcpartpicker.com/product/hbn9TW/klevv-cras-v-rgb-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-kd5bgua80-64a320j
My H5 Flow (2024),Motherboard,Gigabyte Z790 AORUS PRO X ATX LGA1700,https://pcpartpicker.com/product/jxV2FT/gigabyte-z790-aorus-pro-x-atx-lga1700-motherboard-z790-aorus-pro-x
My H5 Flow (2024),Power Supply,Lian Li EDGE 1000 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/WX4Zxr/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000-white
My H5 Flow (2024),Storage,Corsair MP700 PRO 2 TB M.2-2280 PCIe 5.0 X4 NVME SSD,https://pcpartpicker.com/product/3vvD4D/corsair-mp700-pro-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-cssd-f2000gbmp700pnh
My H5 Flow (2024),Video Card,NVIDIA Founders Edition GeForce RTX 3080 Ti 12 GB,https://pcpartpicker.com/product/c2kWGX/nvidia-geforce-rtx-3080-ti-12-gb-founders-edition-video-card-900-1g133-2518-000
My second PC Build (for a friend),CPU,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof
My second PC Build (for a friend),Memory,G.Skill Ripjaws S5 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/x4VmP6/gskill-ripjaws-s5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3040f16gx2-rs5k
My second PC Build (for a friend),Motherboard,Gigabyte B650 GAMING X AX ATX AM5,https://pcpartpicker.com/product/YZgFf7/gigabyte-b650-gaming-x-ax-atx-am5-motherboard-b650-gaming-x-ax
My second PC Build (for a friend),Power Supply,be quiet! Pure Power 12 M 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/4XsV3C/be-quiet-pure-power-12-m-850-w-80-gold-certified-fully-modular-atx-power-supply-bn505
