"component_type","component_name","component_link","BDRE_DualLayer_Speed","BDRE_Speed","BDROM_Speed","BDR_DualLayer_Speed","BDR_Speed","Buffer_Cache","CDROM_Speed","CDRW_Speed","CDR_Speed","DVDRAM_Speed","DVDROM_Speed","DVDRW_Speed","DVDR_DualLayer_Speed","DVDR_Speed","Form_Factor","Interface","Manufacturer","Part_#_#"
"Optical Drive","LG WH14NS40 Blu-Ray/DVD/CD Writer","https://pcpartpicker.com/product/z2dqqs/lg-optical-drive-wh14ns40","2X","2X","12X","12X","14X","4 MB","48X","24X","48X","5X","16X","6X","8X","16X","5.25""","SATA 1.5 Gb/s","LG","WH14NS40"
"","Asus DRW-24D5MT DVD/CD Writer","https://pcpartpicker.com/product/wh38TW/asus-drw-24d5mt-dvdcd-writer-drw-24d5mt","","","","","","","48X","40X","48X","5X","16X","8X","12X","16X","5.25""","SATA 3.0 Gb/s","Asus","DRW-24D5MT; 90DD01Y0-B10010; 90DD01Y0-B20010"
"","Lite-On iHAS124-14 DVD/CD Writer","https://pcpartpicker.com/product/6fJwrH/lite-on-optical-drive-ihas12414","","","","","","","48X","24X","48X","5X","16X","6X","8X","24X","5.25""","SATA 3.0 Gb/s","Lite-On","iHAS124-14"
"","LG UH12NS30 Blu-Ray Reader, DVD/CD Writer","https://pcpartpicker.com/product/NJh9TW/lg-optical-drive-uh12ns30","","","12X","","","2 MB","","24X","48X","5X","16X","6X","8X","16X","5.25""","SATA 3.0 Gb/s","LG","UH12NS30"
"","LG UH12NS29 Blu-Ray Reader, DVD/CD Writer","https://pcpartpicker.com/product/zhbp99/lg-optical-drive-uh12ns29","","","10X","","","4 MB","48X","24X","48X","12X","16X","6X","8X","16X","5.25""","SATA 3.0 Gb/s","LG","UH12NS29"
,"LG UH12NS30 Blu-Ray Reader, DVD/CD Writer",https://pcpartpicker.com/product/NJh9TW/lg-optical-drive-uh12ns30,,,12X,,,2 MB,,24X,48X,5X,16X,6X,8X,16X,"5.25""",SATA 3.0 Gb/s,LG,UH12NS30
,LG WH16NS40 Blu-Ray/DVD/CD Writer,https://pcpartpicker.com/product/QZ6BD3/lg-optical-drive-wh16ns40,2X,2X,12X,12X,16X,4 MB,48X,24X,48X,5X,16X,6X,8X,16X,"5.25""",SATA 3.0 Gb/s,LG,WH16NS40
,Asus DRW-24B3ST/BLK/G/AS DVD/CD Writer,https://pcpartpicker.com/product/W8V48d/asus-optical-drive-drw24b3stblkgas,,,,,,1.5 MB,48X,24X,48X,12X,16X,6X,12X,24X,"5.25""",SATA 3.0 Gb/s,Asus,DRW-24B3ST/BLK/G/AS
,LG WH16NS60 Blu-Ray/DVD/CD Writer,https://pcpartpicker.com/product/s3ZFf7/lg-wh16ns60-dvdcd-writer-wh16ns60,,,,12X,16X,,,24X,48X,5X,,,,,"5.25""",SATA 6.0 Gb/s,LG,WH16NS60
,LG GH22NS50 Bulk DVD/CD Writer,https://pcpartpicker.com/product/QpPfrH/lg-optical-drive-gh22ns50bulk,,,,,,2 MB,48X,32X,48X,12X,16X,8X,,22X,"5.25""",SATA 3.0 Gb/s,LG,GH22NS50 Bulk
,Sony AD-7280S-0B DVD/CD Writer,https://pcpartpicker.com/product/FPrG3C/sony-optical-drive-ad7280s0b,,,,,,1 MB,48X,32X,48X,12X,16X,6X,12X,24X,"5.25""",SATA 3.0 Gb/s,Sony,AD-7280S-0B
