Build Title,CPU_component_name,CPU_Core_Count,CPU_Performance_Core_Clock,CPU_Socket,CPU Cooler_component_name,CPU Cooler_Water_Cooled,CPU Cooler_Radiator_Size_mm,CPU Cooler_Noise_Level,Case_component_name,Case_Type,Case_Height_mm,Case_Width_mm,Case_Depth_mm,Case_ATX,Case_Mini ITX,Memory_component_name,Memory_Speed,Memory_Form_Factor,Memory_Modules,Motherboard_component_name,Motherboard_Chipset,Motherboard_Form_Factor,Motherboard_Memory_Speed,Power Supply_component_name,Power Supply_Wattage,Power Supply_Efficiency_Rating,Power Supply_Modular,Storage_component_name,Storage_Capacity,Storage_Form_Factor,Storage_NVME,Video Card_component_name,Video Card_Chipset,Video Card_Memory,Video Card_TDP
"""End Game"" 1440p Build",Intel Core i9-13900K 3 GHz 24-Core,24,3000,LGA1700,Lian Li Galahad II Trinity SL-INF 61.3 CFM Liquid,True,360.0,29.0,Lian Li O11D EVO RGB ATX Mid Tower,ATX Mid Tower,478.0,290.0,471.0,1,1,G.Skill Trident Z5 RGB 32 GB (2 x 16 GB) DDR5-7200 CL34,7200,DDR5,2 x 16GB,Gigabyte Z790 AORUS MASTER EATX LGA1700,Intel Z790,EATX,7950,be quiet! Straight Power 12 1200 W 80+ Platinum Certified Fully Modular ATX,1200.0,80+ Platinum,Fully Modular,Seagate FireCuda 540 2 TB M.2-2280 PCIe 5.0 X4 NVME SSD,2000,M.2-2280,True,NVIDIA Founders Edition GeForce RTX 3090 24 GB,GeForce RTX 3090,24,350
"""Serenity 2.0"" - Mini ITX Build",AMD Ryzen 5 8500G 4.1 GHz 6-Core,6,4100,AM5,Noctua NH-L9x65 chromax.black 33.84 CFM,False,0.0,19.200000000000003,Deepcool CH160 Mini ITX Desktop,Mini ITX Desktop,336.0,200.0,283.5,0,1,TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,Gigabyte A620I AX Mini ITX AM5,AMD A620,Mini ITX,6400,Unknown,0.0,Unknown,Unknown,Western Digital WD_Black SN850X 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4060,8,115
"""cool boy B)"" (second build)",AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Unknown,Unknown,Unknown,Unknown,Lian Li O11 Vision ATX Mid Tower,ATX Mid Tower,480.0,304.0,464.5,1,1,Corsair Dominator Titanium 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,MSI MAG X670E TOMAHAWK WIFI ATX AM5,AMD X670E,ATX,6600,Unknown,Unknown,Unknown,Unknown,Samsung 980 Pro 500 GB M.2-2280 PCIe 4.0 X4 NVME SSD,500,M.2-2280,True,Unknown,GeForce RTX 4070 Ti SUPER,16,285
$1000 MINI BEAST Setup,AMD Ryzen 7 5700 3.7 GHz 8-Core,8,3700,AM4,ID-COOLING SE-214-XT ARGB 68.2 CFM,False,0.0,22.15,Thermaltake View 170 ARGB MicroATX Mini Tower,MicroATX Mini Tower,377.0,212.0,438.0,0,1,TEAMGROUP T-Force Delta RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,MSI B550M PRO-VDH WIFI Micro ATX AM4,AMD B550,Micro ATX,4400,Unknown,0.0,Unknown,Unknown,TEAMGROUP MS30 1 TB M.2-2280 SATA SSD,1000,M.2-2280,False,Unknown,Unknown,Unknown,Unknown
$1000 Performance Build,AMD Ryzen 5 7600X 4.7 GHz 6-Core,6,4700,AM5,Thermalright Aqua Elite V3 66.17 CFM Liquid,True,360.0,25.6,SAMA AR01-RGB MicroATX Mini Tower,MicroATX Mini Tower,462.28,223.52,447.04,0,1,TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,MSI PRO B650M-A WIFI Micro ATX AM5,AMD B650,Micro ATX,6400,Unknown,Unknown,Unknown,Unknown,TEAMGROUP T-Force Cardea A440 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,XFX Speedster MERC 319 CORE Radeon RX 6800 XT 16 GB,Radeon RX 6800 XT,16,300
$1400 1440p Build for a Friend,AMD Ryzen 5 7600X 4.7 GHz 6-Core,6,4700,AM5,Unknown,Unknown,Unknown,Unknown,Phanteks XT PRO ATX Mid Tower,ATX Mid Tower,450.0,230.0,500.0,1,1,Silicon Power Value Gaming 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,ASRock B650M Pro RS Micro ATX AM5,AMD B650,Micro ATX,6200,Enermax REVOLUTION D.F. 2 1050 W 80+ Gold Certified Fully Modular ATX,1050.0,80+ Gold,Fully Modular,Silicon Power UD90 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,Radeon RX 6900 XT,16,300
"$18,000 Endgame Setup",AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,8,4700,AM5,Unknown,Unknown,Unknown,Unknown,Lian Li O11D EVO RGB ATX Mid Tower,ATX Mid Tower,478.0,290.0,471.0,1,1,G.Skill Trident Z5 Neo RGB 64 GB (2 x 32 GB) DDR5-6000 CL30,6000,DDR5,2 x 32GB,MSI MPG X870E CARBON WIFI ATX AM5,AMD X870E,ATX,8400,be quiet! Straight Power 12 1500 W 80+ Platinum Certified Fully Modular ATX,1500.0,80+ Platinum,Fully Modular,Kingston NV2 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 5090,32,575
$3000 Battle station,Intel Core i9-13900KF 3 GHz 24-Core,24,3000,LGA1700,Unknown,Unknown,Unknown,Unknown,NZXT H7 Flow (2024) ATX Mid Tower,ATX Mid Tower,468.0,244.0,544.0,1,1,G.Skill Trident Z5 RGB 64 GB (2 x 32 GB) DDR5-6800 CL34,6800,DDR5,2 x 32GB,Asus TUF GAMING Z790-PLUS WIFI ATX LGA1700,Intel Z790,ATX,7200,SeaSonic VERTEX PX-1200 1200 W 80+ Platinum Certified Fully Modular ATX,1200.0,80+ Platinum,Fully Modular,Western Digital WD_Black SN850X 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,4000,M.2-2280,True,Unknown,GeForce RTX 4070 Ti SUPER,16,285
"$330 ""Purgatory"" Budget 1080p build",AMD Ryzen 5 2600 3.4 GHz 6-Core,6,3400,AM4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Silicon Power XPOWER Turbine 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,TEAMGROUP MP33 512 GB M.2-2280 PCIe 3.0 X4 NVME SSD,512,M.2-2280,True,Unknown,Radeon RX 580,8,185
$350 Neon Storm Trooper Budget Build,AMD Ryzen 5 2600 3.4 GHz 6-Core,6,3400,AM4,Unknown,Unknown,Unknown,Unknown,DIYPC ARGB-Q3 V2 MicroATX Mini Tower,MicroATX Mini Tower,385.0,275.0,365.0,0,1,Silicon Power GAMING 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,MSI A320M-A PRO MAX Micro ATX AM4,AMD A320,Micro ATX,3200,Unknown,0.0,Unknown,Unknown,TEAMGROUP MP33 512 GB M.2-2280 PCIe 3.0 X4 NVME SSD,512,M.2-2280,True,Unknown,GeForce GTX 1660 SUPER,6,125
$700 USD build for a friend,Intel Core i7-12700KF 3.6 GHz 12-Core,12,3600,LGA1700,Unknown,Unknown,Unknown,Unknown,DIYPC ARGB-Q3 V2 MicroATX Mini Tower,MicroATX Mini Tower,385.0,275.0,365.0,0,1,TEAMGROUP T-Force Vulcan Z 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,Gigabyte B760M GAMING PLUS WIFI DDR4 Micro ATX LGA1700,Intel B760,Micro ATX,5333,Unknown,Unknown,Unknown,Unknown,TEAMGROUP MP44L 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 6600,8,132
