component_name,component_link,AMP_Molex_4pin_Connectors,ATX_4pin_Connectors,Color,EPS_8pin_Connectors,Efficiency_Rating,Fanless,Inferred_,Length,Manufacturer,Modular,PCIe_12pin_Connectors,PCIe_16pin_12VHPWR_12V2x6_Connectors,PCIe_62pin_Connectors,PCIe_6pin_Connectors,PCIe_8pin_Connectors,Part_#_#,SATA_Connectors,Type,Wattage,
be quiet! Straight Power 12 1200 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/L7CZxr/be-quiet-straight-power-12-1200-w-80-platinum-certified-fully-modular-atx-power-supply-bn339,2,0,Black,2,80+ Platinum,No,,180 mm,be quiet!,Full,0,2,4,0,0,BN339; BN739; BN517; BN734; BN744; BN749,9,ATX,1200 W,
Enermax REVOLUTION D.F. 2 1050 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/WjcgXL/enermax-revolution-df-2-1050-w-80-gold-certified-fully-modular-atx-power-supply-ers1050ewt,4,0,Black,2,80+ Gold,No,,140 mm,Enermax,Full,0,0,6,0,0,ERS1050EWT,8,ATX,1050 W,
be quiet! Straight Power 12 1500 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/GjWJ7P/be-quiet-straight-power-12-1500-w-80-platinum-certified-fully-modular-atx-power-supply-bn340,2,0,Black,2,80+ Platinum,No,,180 mm,be quiet!,Full,0,2,4,0,0,BN340; BN740; BN735; BN745; BN518,9,ATX,1500 W,
SeaSonic VERTEX PX-1200 1200 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/VLWzK8/seasonic-vertex-px-1200-1200-w-80-platinum-certified-fully-modular-atx-power-supply-vertex-px-1200,3,0,Black / Silver,2,80+ Platinum,No,,160 mm,SeaSonic,Full,0,1,3,0,0,VERTEX PX-1200,18,ATX,1200 W,
MSI MEG Ai-T PCIE5 1600 W 80+ Titanium Certified Fully Modular ATX,https://pcpartpicker.com/product/9D2j4D/msi-meg-ai-t-pcie5-1600-w-80-titanium-certified-fully-modular-atx-power-supply-meg-ai1600t-pcie5,8,0,Black / Gold,2,80+ Titanium,No,,190 mm,MSI,Full,0,2,9,0,0,MEG Ai1600T PCIE5,8,ATX,1600 W,
MSI MAG A750GL PCIE5 750 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/dbCZxr/msi-mag-a750gl-pcie5-750-w-80-gold-certified-fully-modular-atx-power-supply-mag-a750gl-pcie5,4,0,Black,2,80+ Gold,No,,140 mm,MSI,Full,0,1,3,0,0,MAG A750GL PCIE5; 306-7ZP8B11-CE0,8,ATX,750 W,
MSI MAG A550BN 550 W 80+ Bronze Certified ATX,https://pcpartpicker.com/product/mnVmP6/msi-mag-a550bn-550-w-80-bronze-certified-atx-power-supply-mag-a550bn,2,0,Black,1,80+ Bronze,No,,140 mm,MSI,No,0,0,2,0,0,MAG A550BN; 306-7ZP2A11-CE0,5,ATX,550 W,
MSI MAG A650BN 650 W 80+ Bronze Certified ATX,https://pcpartpicker.com/product/8LNxFT/msi-mag-a-bn-650-w-80-bronze-certified-atx-power-supply-mag-a650bn,2,0,Black,1,80+ Bronze,No,,140 mm,MSI,No,0,0,2,0,0,MAG A650BN; 306-7ZP2B11-CE0,5,ATX,650 W,
Montech TITAN GOLD 850W 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/fJFbt6/montech-titan-gold-850w-850-w-80-gold-certified-fully-modular-atx-power-supply-titan-gold-850w,4,0,Black,4,80+ Gold,No,,160 mm,Montech,Full,0,1,4,0,0,TITAN GOLD 850W; TIS0124,12,ATX,850 W,
GAMDIAS KRATOS M1 B 550 W 80+ Bronze Certified ATX,https://pcpartpicker.com/product/VTNxFT/gamdias-kratos-m1-b-550-w-80-bronze-certified-atx-power-supply-kratos-m1-550b,2,0,Black,1,80+ Bronze,No,,140 mm,GAMDIAS,No,0,0,2,0,0,KRATOS M1-550B,5,ATX,550 W,
