component_type,component_name,component_link,Capacity,Form_Factor,Inferred_Tested_and_run_inhouse_at_PCP,Interface,Manufacturer,NVME,Part_#_#,Price_GB,Type
Storage,Seagate FireCuda 540 2 TB M.2-2280 PCIe 5.0 X4 NVME SSD,https://pcpartpicker.com/product/pkwmP6/seagate-firecuda-540-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-zp2000gm3a004,2 TB,M.2-2280,Tested and run in-house at PCPartPicker; Detailed Benchmark Results; Test Methodology; Test System Configuration,M.2 PCIe 5.0 X4,Seagate,Yes,ZP2000GM3A004,$0.12 ,SSD
,Western Digital WD_Black SN850X 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/crKKHx/western-digital-wd_black-sn850x-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t2x0e,2 TB,M.2-2280,Tested and run in-house at PCPartPicker; Detailed Benchmark Results; Test Methodology; Test System Configuration,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS200T2X0E; WDBB9G0020BNC-WRSN; WDS200T2X0E-00BCA0,$0.07 ,SSD
,TEAMGROUP MS30 1 TB M.2-2280 SATA SSD,https://pcpartpicker.com/product/XZhKHx/team-ms30-1-tb-m2-2280-solid-state-drive-tm8ps7001t0c101,1 TB,M.2-2280,,M.2 SATA,TEAMGROUP,No,TM8PS7001T0C101,$0.05 ,SSD
,TEAMGROUP T-Force Cardea A440 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/X9vdnQ/teamgroup-t-force-cardea-a440-pro-1-tb-m2-2280-nvme-solid-state-drive-tm8fpr001t0c129,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,TEAMGROUP,Yes,TM8FPR001T0C129,,SSD
,Silicon Power UD90 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/f4cG3C/silicon-power-ud90-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp02kgbp44ud9005,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Silicon Power,Yes,SP02KGBP44UD9005,$0.05 ,SSD
,Kingston NV2 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/FnYmP6/kingston-nv2-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s1000g,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Kingston,Yes,SNV2S/1000G,$0.07 ,SSD
,Western Digital WD_Black SN850X 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/yBC48d/western-digital-wd_black-sn850x-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds400t2x0e,4 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS400T2X0E; WDBB9G0040BNC-WRSN; WDS400T2X0E-00BCA0,$0.07 ,SSD
,TEAMGROUP MP33 512 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/Brvqqs/team-mp33-512-gb-m2-2280-nvme-solid-state-drive-tm8fp6512g0c101,512 GB,M.2-2280,,M.2 PCIe 3.0 X4,TEAMGROUP,Yes,TM8FP6512G0C101,$0.07 ,SSD
,TEAMGROUP MP33 512 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/Brvqqs/team-mp33-512-gb-m2-2280-nvme-solid-state-drive-tm8fp6512g0c101,512 GB,M.2-2280,,M.2 PCIe 3.0 X4,TEAMGROUP,Yes,TM8FP6512G0C101,$0.07 ,SSD
,TEAMGROUP MP44L 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/2x4Ycf/teamgroup-mp44l-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpk001t0c101,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,TEAMGROUP,Yes,TM8FPK001T0C101,$0.06 ,SSD
,FanXiang S880 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/XC9wrH/fanxiang-s880-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-1tb-ssd-m2-s880,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,FanXiang,Yes,1TB - SSD - M.2 - S880,$0.06 ,SSD
,Crucial T705 2 TB M.2-2280 PCIe 5.0 X4 NVME SSD,https://pcpartpicker.com/product/WVP8TW/crucial-t705-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct2000t705ssd3,2 TB,M.2-2280,,M.2 PCIe 5.0 X4,Crucial,Yes,CT2000T705SSD3,$0.12 ,SSD
,Crucial P3 Plus 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/PPpzK8/crucial-p3-plus-4-tb-m2-2280-nvme-solid-state-drive-ct4000p3pssd8,4 TB,M.2-2280,,M.2 PCIe 4.0 X4,Crucial,Yes,CT4000P3PSSD8,$0.06 ,SSD
,Western Digital Black SN770 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/YVytt6/western-digital-1-tb-m2-2280-nvme-solid-state-drive-wds100t3x0e,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS100T3X0E; WDS100T3X0E-00B3N0,$0.07 ,SSD
,Lexar NM620 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/VHM48d/lexar-nm620-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-lnm620x001t-rnnng,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Lexar,Yes,LNM620X001T-RNNNG; LNM620X001T-RNNNU,$0.06 ,SSD
,"Crucial BX500 1 TB 2.5"" SSD",https://pcpartpicker.com/product/LFZzK8/crucial-bx500-1-tb-25-solid-state-drive-ct1000bx500ssd1,1 TB,"2.5""",,SATA 6.0 Gb/s,Crucial,No,CT1000BX500SSD1,$0.06 ,SSD
,Lexar NM790 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/TspQzy/lexar-nm790-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm790x002t-rnnng,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Lexar,Yes,LNM790X002T-RNNNG; LNM790X002T-RNNNU,$0.07 ,SSD
,Samsung 990 EVO Plus 2 TB M.2-2280 PCIe 5.0 X2 NVME SSD,https://pcpartpicker.com/product/hpqrxr/samsung-990-evo-plus-2-tb-m2-2280-pcie-50-x2-nvme-solid-state-drive-mz-v9s2t0bw,2 TB,M.2-2280,,M.2 PCIe 5.0 X2,Samsung,Yes,MZ-V9S2T0BW; MZ-V9S2T0B/AM,$0.07 ,SSD
,Crucial P3 Plus 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/chzhP6/crucial-p3-plus-1-tb-m2-2280-nvme-solid-state-drive-ct1000p3pssd8,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Crucial,Yes,CT1000P3PSSD8,$0.06 ,SSD
