component_name,component_link,Capacity,Form_Factor,Full_Disk_Write_Throughput,Full_Disk_Write_Throughput_Lowest_10_Seconds,Interface,Manufacturer,NVME,Part__,Price_GB,Random_Read_Throughput_QD1,Random_Read_Throughput_QD32,Random_Write_Throughput_QD1,Random_Write_Throughput_QD32,SSD_NAND_Flash_Type,Sequential_Read_Throughput_QD1,Sequential_Read_Throughput_QD4,Sequential_Write_Throughput_QD1,Sequential_Write_Throughput_QD4,Type
Seagate Firecuda 540 2 Tb M.2-2280 Pcie 5.0 X4 Nvme Ssd,https://pcpartpicker.com/product/pkwmP6/seagate-firecuda-540-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-zp2000gm3a004,2000,M.2 2280,,,PCIe 5.0 x4,Seagate,TRUE,ZP2000GM3A004,0.115,,,,,3D TLC,,,,,SSD
Western Digital Wd_Black Sn850X 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/crKKHx/western-digital-wd_black-sn850x-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t2x0e,2000,M.2 2280,,,PCIe 4.0 x4,Western Digital,TRUE,WDS200T2X0E,0.074,,,,,,,,,,SSD
Teamgroup Ms30 1 Tb M.2-2280 Sata Ssd,https://pcpartpicker.com/product/XZhKHx/team-ms30-1-tb-m2-2280-solid-state-drive-tm8ps7001t0c101,1000,M.2 2280,,,M.2 SATA,Teamgroup,FALSE,TM8PS7001T0C101,0.053,,,,,,,,,,SSD
Teamgroup T-Force Cardea A440 Pro 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/X9vdnQ/teamgroup-t-force-cardea-a440-pro-1-tb-m2-2280-nvme-solid-state-drive-tm8fpr001t0c129,1000,M.2 2280,,,PCIe 4.0 x4,Teamgroup,TRUE,TM8FPR001T0C129,,,,,,,,,,,SSD
Silicon Power Ud90 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/f4cG3C/silicon-power-ud90-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp02kgbp44ud9005,2000,M.2 2280,,,PCIe 4.0 x4,Silicon Power,TRUE,SP02KGBP44UD9005,0.047,,,,,,,,,,SSD
Kingston Nv2 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/FnYmP6/kingston-nv2-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s1000g,1000,M.2 2280,,,PCIe 4.0 x4,Kingston,TRUE,SNV2S/1000G,0.067,,,,,,,,,,SSD
Western Digital Wd_Black Sn850X 4 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/yBC48d/western-digital-wd_black-sn850x-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds400t2x0e,4000,M.2 2280,,,PCIe 4.0 x4,Western Digital,TRUE,WDS400T2X0E,0.071,,,,,,,,,,SSD
Teamgroup Mp33 512 Gb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/Brvqqs/team-mp33-512-gb-m2-2280-nvme-solid-state-drive-tm8fp6512g0c101,512,M.2 2280,,,PCIe 3.0 x4,Teamgroup,TRUE,TM8FP6512G0C101,0.072,,,,,,,,,,SSD
Teamgroup Mp44L 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/2x4Ycf/teamgroup-mp44l-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpk001t0c101,1000,M.2 2280,,,PCIe 4.0 x4,Teamgroup,TRUE,TM8FPK001T0C101,0.06,,,,,,,,,,SSD
Fanxiang S880 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/XC9wrH/fanxiang-s880-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-1tb-ssd-m2-s880,1000,M.2 2280,,,PCIe 4.0 x4,Fanxiang,TRUE,1TB - SSD - M.2 - S880,0.06,,,,,,,,,,SSD
Crucial T705 2 Tb M.2-2280 Pcie 5.0 X4 Nvme Ssd,https://pcpartpicker.com/product/WVP8TW/crucial-t705-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct2000t705ssd3,2000,M.2 2280,,,PCIe 5.0 x4,Crucial,TRUE,CT2000T705SSD3,0.115,,,,,,,,,,SSD
Crucial P3 Plus 4 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/PPpzK8/crucial-p3-plus-4-tb-m2-2280-nvme-solid-state-drive-ct4000p3pssd8,4000,M.2 2280,,,PCIe 4.0 x4,Crucial,TRUE,CT4000P3PSSD8,0.055,,,,,,,,,,SSD
Western Digital Black Sn770 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/YVytt6/western-digital-1-tb-m2-2280-nvme-solid-state-drive-wds100t3x0e,1000,M.2 2280,,,PCIe 4.0 x4,Western Digital,TRUE,WDS100T3X0E,0.069,,,,,3D TLC,,,,,SSD
Lexar Nm620 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/VHM48d/lexar-nm620-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-lnm620x001t-rnnng,1000,M.2 2280,,,PCIe 3.0 x4,Lexar,TRUE,LNM620X001T-RNNNG,0.058,,,,,3D TLC,,,,,SSD
"Crucial Bx500 1 Tb 2.5"" Ssd",https://pcpartpicker.com/product/LFZzK8/crucial-bx500-1-tb-25-solid-state-drive-ct1000bx500ssd1,1000,"2.5""",,,SATA 6.0 Gb/s,Crucial,FALSE,CT1000BX500SSD1,0.06,,,,,,,,,,SSD
Lexar Nm790 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/TspQzy/lexar-nm790-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm790x002t-rnnng,2000,M.2 2280,,,PCIe 4.0 x4,Lexar,TRUE,LNM790X002T-RNNNG,0.065,,,,,,,,,,SSD
