component_type,component_name,component_link,Amount,Features,Manufacturer,Part_#_#
Thermal Compound,Noctua NT-H1 3.5 g,https://pcpartpicker.com/product/sX4gXL/noctua-thermal-paste-nth1,3.5 g,"Excellent performance: NT-H1 consists of a hybrid compound of different micro-particles, which has been specifically optimized for use in PC environments. Thanks to its extremely low thermal resistance as well as excellent pliability and spreadability, NT-H1 achieves outstanding results.; Maximum ease of use & efficient dosage: As NT-H1 spreads very well under pressure, there's no need to smear it over the heat-spreader. This reduces both the consumption of paste and the time spent on the installation process: Put one drop of NT-H1 onto the centre of your CPU, install the cooler and that's it!; Top-performance right from the start: NT-H1 reaches its full performance extremely fast and doesn't require a longer ""burn-in"" time.; Excellent long-term stability: NT-H1 doesn't contain any solvents or other substances with low flash point and provides excellent long-term stability. Due to the compound's exceptional curing, bleeding, dry-out und thermal cycling characteristics, NT-H1 can be used for several years without any problems.; Not electrically conductive, non-corroding: NT-H1 possesses a very low dielectric constant and a high dielectric strength. Therefore, there's no danger of short-circuits even in case of direct contact with components or conducting paths. Fully compatible with all materials commonly employed in PC environments, NT-H1 is suited for use with aluminium and copper coolers.; Suitable for compressor cooling: NT-H1 is perfectly suited for use with compressor coolers. Even at the very lowest temperatures, the paste delivers full performance and remains easy to clean off.",Noctua,NT-H1; NT-H1 3.5g
,Thermal Grizzly Kryonaut Extreme 2 g,https://pcpartpicker.com/product/J7Tp99/thermal-grizzly-kryonaut-extreme-2-g-thermal-paste-tg-ke-002-r,2 g,"Viscosity: 130-180 Pas; Specific Weight: 3,76g/cm3; Temperature: -250 °C / +350 °C; Thermal Conductivity: 14,2 W/m*K; Electrical Conductivity: 0 pS/m",Thermal Grizzly,TG-KE-002-R,Kryonaut Extreme
,Arctic Silver 5 High-Density Polysynthetic Silver 3.5 g,https://pcpartpicker.com/product/6RrG3C/arctic-silver-thermal-paste-as535g,3.5 g,"Three unique shapes and sizes of pure silver particles to maximize particle-to-particle contact area and thermal transfer.; Contains over 88% thermally conductive filler by weight.These thermally-enhanced ceramic particles improve the compound's performance and long-term stability; Ensure the best physical contact between the heatsink and the CPU core.; Will not separate, run, migrate, or bleed.; 3.5-gram; Average Particle Size: <0.49 micron <0.000020 inch; Extended Temperature Limits: Peak: -50 Degrees C to >180 Degrees C; Long-Term: -50 Degrees C to 130 Degrees C; Performance: 3 to 12 degrees centigrade lower CPU full load core temperatures than standard thermal compounds or thermal pads when measured with a calibrated thermal diode imbedded in the CPU core.; Coverage Area: A 3.5 gram syringe contains enough compound to cover at least 15 to 25 small CPU cores, or 6 to 10 large CPU cores, or 2 to 5 heat plates. At a layer 0.003"" thick, the 3.5 gram syringe will cover approximately 16 square inches.",Arctic Silver,AS5-3.5G; AS-AS5-35,5 High-Density Polysynthetic Silver
,ARCTIC MX-6 8 g,https://pcpartpicker.com/product/r46p99/arctic-mx-6-8-g-thermal-paste-actcp00081a,8 g,,ARCTIC,ACTCP00081A
,Corsair TM30 3 g,https://pcpartpicker.com/product/dfzkcf/corsair-tm30-thermal-paste-ct-9010001-ww,3 g,,Corsair,CT-9010001-WW,TM30
,Arctic Silver 5 High-Density Polysynthetic Silver 3.5 g,https://pcpartpicker.com/product/6RrG3C/arctic-silver-thermal-paste-as535g,3.5 g,"Three unique shapes and sizes of pure silver particles to maximize particle-to-particle contact area and thermal transfer.; Contains over 88% thermally conductive filler by weight.These thermally-enhanced ceramic particles improve the compound's performance and long-term stability; Ensure the best physical contact between the heatsink and the CPU core.; Will not separate, run, migrate, or bleed.; 3.5-gram; Average Particle Size: <0.49 micron <0.000020 inch; Extended Temperature Limits: Peak: -50 Degrees C to >180 Degrees C; Long-Term: -50 Degrees C to 130 Degrees C; Performance: 3 to 12 degrees centigrade lower CPU full load core temperatures than standard thermal compounds or thermal pads when measured with a calibrated thermal diode imbedded in the CPU core.; Coverage Area: A 3.5 gram syringe contains enough compound to cover at least 15 to 25 small CPU cores, or 6 to 10 large CPU cores, or 2 to 5 heat plates. At a layer 0.003"" thick, the 3.5 gram syringe will cover approximately 16 square inches.",Arctic Silver,AS5-3.5G; AS-AS5-35,5 High-Density Polysynthetic Silver
,Noctua NT-H2 3.5 g,https://pcpartpicker.com/product/XYndnQ/noctua-nt-h2-35-g-thermal-paste-nt-h2-35g,3.5 g,,Noctua,NT-H2 3.5g; NT-H2-3,NT-H2
,ARCTIC MX-6 2 g,https://pcpartpicker.com/product/x8LFf7/arctic-mx-6-2-g-thermal-paste-actcp00079a,2 g,,ARCTIC,ACTCP00079A
,Noctua NT-H2 3.5 g,https://pcpartpicker.com/product/XYndnQ/noctua-nt-h2-35-g-thermal-paste-nt-h2-35g,3.5 g,,Noctua,NT-H2 3.5g; NT-H2-3,NT-H2
,Prolimatech PK-3 Nano Aluminum High-Grade 1.5 g,https://pcpartpicker.com/product/h3Lypg/prolimatech-thermal-paste-propk315g,,,,
