component_name,component_link,Boost_Clock,Case_Expansion_Slot_Width,Chipset,Color,Cooling,Core_Clock,DisplayPort_Outputs,Effective_Memory_Clock,External_Power,Frame_Sync,HDMI_Outputs,Inferred_,Interface,Length,Manufacturer,Memory,Memory_Type,Part_#_#,SLI_CrossFire,TDP,Total_Slot_Width,,,
NVIDIA Founders Edition GeForce RTX 3090 24 GB,https://pcpartpicker.com/product/PFVG3C/nvidia-geforce-rtx-3090-24-gb-founders-edition-video-card-900-1g136-2510-000,1695 MHz,3,GeForce RTX 3090,Black / Silver,2 Fans,1395 MHz,3,19500 MHz,1 x PCIe 12-pin,G-Sync,1,,PCIe x16,313 mm,NVIDIA,24 GB,GDDR6X,900-1G136-2510-000,2-way SLI Capable,350 W,3,,,
XFX Speedster MERC 319 CORE Radeon RX 6800 XT 16 GB,https://pcpartpicker.com/product/vKZ9TW/xfx-radeon-rx-6800-xt-16-gb-speedster-merc-319-core-video-card-rx-68xtalfd9,2250 MHz,2,Radeon RX 6800 XT,Black / Silver,3 Fans,1825 MHz,3,16000 MHz,2 x PCIe 8-pin,FreeSync,1,,PCIe x16,340 mm,XFX,16 GB,GDDR6,RX-68XTALFD9,,300 W,3,,,
Sapphire NITRO+ Radeon RX 7800 XT 16 GB,https://pcpartpicker.com/product/N4P8TW/sapphire-nitro-radeon-rx-7800-xt-16-gb-video-card-11330-01-20g,,3,Radeon RX 7800 XT,Black,3 Fans,1295 MHz,2,,2 x PCIe 8-pin,FreeSync,2,,PCIe x16,320 mm,Sapphire,16 GB,GDDR6,11330-01-20G,,288 W,4,,,
Asus STRIX GAMING OC GeForce RTX 3080 10GB 10 GB,https://pcpartpicker.com/product/LRmFf7/asus-geforce-rtx-3080-10-gb-strix-gaming-oc-video-card-rog-strix-rtx3080-o10g-gaming,1935 MHz,2,GeForce RTX 3080 10GB,Black,3 Fans,1440 MHz,3,19500 MHz,3 x PCIe 8-pin,G-Sync,2,,PCIe x16,318 mm,Asus,10 GB,GDDR6X,ROG-STRIX-RTX3080-O10G-GAMING; 90YV0FA1-M0NM00,,320 W,3,,,
Sapphire PULSE Radeon RX 6600 8 GB,https://pcpartpicker.com/product/gJTp99/sapphire-radeon-rx-6600-8-gb-pulse-video-card-11310-01-20g,2491 MHz,2,Radeon RX 6600,Black / Red,2 Fans,1626 MHz,3,,1 x PCIe 8-pin,FreeSync,1,,PCIe x16,193 mm,Sapphire,8 GB,GDDR6,11310-01-20G,,140 W,2,,,
Gigabyte AORUS MASTER GeForce RTX 3080 10GB 10 GB,https://pcpartpicker.com/product/fDWBD3/gigabyte-aorus-master-geforce-rtx-3080-10gb-10-gb-video-card-gv-n3080aorus-m-10gd-rev-10,,2,GeForce RTX 3080 10GB,Black,3 Fans,1440 MHz,3,19000 MHz,2 x PCIe 8-pin,G-Sync,3,,PCIe x16,319 mm,Gigabyte,10 GB,GDDR6X,GV-N3080AORUS M-10GD (rev. 1.0),,320 W,3,,,
Sapphire NITRO+ Radeon RX 7800 XT 16 GB,https://pcpartpicker.com/product/N4P8TW/sapphire-nitro-radeon-rx-7800-xt-16-gb-video-card-11330-01-20g,,3,Radeon RX 7800 XT,Black,3 Fans,1295 MHz,2,,2 x PCIe 8-pin,FreeSync,2,,PCIe x16,320 mm,Sapphire,16 GB,GDDR6,11330-01-20G,,288 W,4,,,
Asus STRIX GAMING GeForce RTX 3070 8 GB,https://pcpartpicker.com/product/CXwkcf/asus-geforce-rtx-3070-8-gb-strix-gaming-video-card-rog-strix-rtx3070-8g-gaming,1755 MHz,2,GeForce RTX 3070,Black,3 Fans,1500 MHz,3,14000 MHz,2 x PCIe 8-pin,G-Sync,2,,PCIe x16,318 mm,Asus,8 GB,GDDR6,ROG-STRIX-RTX3070-8G-GAMING; 90YV0FR0-M0NA00,,220 W,3,,,
MSI RADEON RX VEGA 64 8G Radeon RX VEGA 64 8 GB,https://pcpartpicker.com/product/Fx4NnQ/msi-radeon-rx-vega-64-8gb-video-card-radeon-rx-vega-64-8g,1546 MHz,2,Radeon RX VEGA 64,Black / Red,1 Fan,1247 MHz,3,1900 MHz,2 x PCIe 8-pin,FreeSync,1,,PCIe x16,280 mm,MSI,8 GB,HBM2,RADEON RX VEGA 64 8G,4-way CrossFire Capable; 3-way CrossFire Capable; 2-way CrossFire Capable,295 W,2,,,
Asus DUAL OC GeForce RTX 3070 8 GB,https://pcpartpicker.com/product/NhzFf7/asus-geforce-rtx-3070-8-gb-dual-oc-video-card-dual-rtx3070-o8g,,2,GeForce RTX 3070,Black,2 Fans,1500 MHz,3,14000 MHz,2 x PCIe 8-pin,G-Sync,2,,PCIe x16,267 mm,Asus,8 GB,GDDR6,DUAL-RTX3070-O8G; 90YV0FQ0-M0NA00,,220 W,3,,,
